attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,bec467da0d8851388b931dae57ffa5e79653f3e271981c08e8c1a5c0e7b1140b,,local-authority-eng:ADU,developer-agreement-transaction,2020-12-21,,
,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,0f58cc93427544f40cfc63b29809bed23c6485923e095d2c53bb0ee3008d309e,,local-authority-eng:AMB,developer-agreement-transaction,2021-01-11,,
,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,6171e63f0cbf308ab07f92ae90cde5e8a45091869efca6d2ac4f8cb197aa25eb,,local-authority-eng:ASF,developer-agreement-transaction,2020-12-22,,
,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,2e23473d44aeb29a9fab2502f2da4710fe760574abfefded48f2f211f7e195ee,,local-authority-eng:BOL,developer-agreement-transaction,2020-12-23,,
,developer-contributions,,b4b23d8c1e653a4e20c50641461b6553eac09f6087a13256547dee0f18ae7915,,local-authority-eng:BOT,developer-agreement-transaction,2020-12-22,,
,developer-contributions,https://www.braintree.gov.uk/homepage/188/developer-agreements-contributions,16af08c6b63f522fe12ee84045b3a55a13a8de4d0ae89505bae175dd3fbb931e,,local-authority-eng:BRA,developer-agreement-transaction,2021-01-04,,
,developer-contributions,https://www.broxbourne.gov.uk/ifs,a06836755418154220d78214dc67d2aef22e109b38e0ea1eaf4a18ca67e54c5b,,local-authority-eng:BRX,developer-agreement-transaction,2020-12-22,,
,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,0f6f5ae1fa5632f2b8cc08891bb3157541117ab29bdb64f55363008a734772f7,,local-authority-eng:CHA,developer-agreement-transaction,2020-12-23,,
,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement-transaction,e4a3bbbdbc80d48650d16eb4c050c6530228118b0f0da133a3911b0d07795b4a,,local-authority-eng:CHT,developer-agreement-transaction,2021-01-04,,
,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,2150658d50678c26993baec2c52da50325463e9bca3a35fc5b4bccd6fccd5e51,,local-authority-eng:CMA,developer-agreement-transaction,2021-01-04,,
,developer-contributions,https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210,4262f9ce516a52a68b60377e50ec86eb7db129594fc12d03cfe731ed3c9a7581,,local-authority-eng:COL,developer-agreement-transaction,2020-12-16,,
,developer-contributions,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,b89a7ccd1ff32160402323509b8425bb61728a115ebe14ba80ac08e8b16e43f5,,local-authority-eng:EHE,developer-agreement-transaction,2020-12-16,,
