resource,bytes,organisations,endpoints,start-date,end-date
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,4341,local-authority-eng:NEA,fbdee5b9c7eb6f2c9335cb363d04df487767f13ad06348a05fe03563f13a7dca,2021-02-15,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,10029,local-authority-eng:BOL,2e23473d44aeb29a9fab2502f2da4710fe760574abfefded48f2f211f7e195ee,2021-02-15,
1f27db5f586f93ab98265f1647db60d5adb077003b9e3903c4d5271085d7b4a5,5545,local-authority-eng:IOW,e6fbd61b44f686dfd55a324b35b494c0e8ecca549356a0bece6c93cc5090f035,2021-02-18,2021-02-18
2249cfdc7f82639ab82ec43e8602bda1d2c824f7d91a0eb15296ad0b36852d39,3875,local-authority-eng:CHT,e4a3bbbdbc80d48650d16eb4c050c6530228118b0f0da133a3911b0d07795b4a,2021-02-15,
23a6b25c16ca0628675350e6b310d900e1be409aa5547a195309825ec01621f8,20842,local-authority-eng:NTY,058fc1d3ba3aedcb8c9b47648b8458804d51e98aebd6175846b8b40cf5ab900c,2021-02-15,
3627eee409268e96dde71b17a368f269f6d15b837d5d487febe86716c5cde210,8173,local-authority-eng:SLA,74e6ad20eeb23e7d21a942fcad5316e140e050f36da8247778de46f9f576b6b7,2021-02-15,
40641c8c87cf5b62ad9baffb0bdcdbfc66639a893fde0dcfdfd73cb51ed1c89b,9172,national-park-authority:Q72617158,6f317f7a4ab4c81d06eaa7e6b8551f8d0ad08a8385bea5a86f03475caa0b9fc3,2021-02-15,
47e2252dfb25627a65206330ec2454d9e5673150ef414f0e3b0c54eb123ebce7,6554,local-authority-eng:EST,9809aa11e4f0536e21649e94552180ed717befe3b712649f2275528970f3a8d9,2021-02-15,
67edd9cfa5b4b558f53948a41ebd2b52b7b59c3f0ae0fe1e09244afbdec0b9b0,6285,local-authority-eng:IOW,e6fbd61b44f686dfd55a324b35b494c0e8ecca549356a0bece6c93cc5090f035,2021-02-20,
6bb3c77a4730adae3508a934118c75e698f47c2988498ffd2bc573e41b55c27c,4965,local-authority-eng:AMB,0f58cc93427544f40cfc63b29809bed23c6485923e095d2c53bb0ee3008d309e,2021-02-15,
6d4aac412849618d6a4df09ddeaeee9dc3a72411b67e962e074c0375477b7fee,1089,local-authority-eng:SHA,aa707a5e8feb8d6a63b068c0559d5aaff41af51a39707b9beb0c0792fe48c1fd,2021-02-15,
80159ad9f5769c83636e9230fc27a4202f9049d69c8cdc11940dc289c5e0d62c,17422,local-authority-eng:NFK,b7190aaa2bddedffb3c5458ec7c2ea3809f8ee71cd670f2fbb2b4951fd74f17b,2021-02-15,
8633d3fb888237fb0da41e8f286b377304c3ff4e4d481e0d025c2c3aefc86587,62350,local-authority-eng:SND,5f8ae77da86881228426a3a7d1fbc17839d53892344e0aea372c4dfe95733e8a,2021-02-15,
8c2cfe5ae208afa9d3c2341016cd5bb6531744350b824f1451fbb5a5b43e24e5,81388,local-authority-eng:HRT,5207f064cc5bee9d321ee25f4eca2cfd18a26ec6ec57895bb37cf389b4d2ce7d,2021-02-15,
8ff04e93fa2488751faf4323846b1ec6138f543388301a0094297759fea7c8d2,10492,local-authority-eng:HAL,ff05401217ed0922dd380be2be60d1a8c22347f5e6a29ffc569998c4df5a99d3,2021-02-15,
