amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
346,received,19/00014/FUL-1-1,19/00014/FUL-1-1-1,,2020-12-13,2019-08-22,,
653,received,19/00120/FUL-1-1,19/00120/FUL-1-1-1,,2020-12-23,2019-06-19,,
768,received,19/00146/FUL-1-1,19/00146/FUL-1-1-1,,2020-12-23,2019-08-15,,
1028,received,19/00762/FUL-1-1,19/00762/FUL-1-1-1,,2020-12-17,2020-07-28,,
5E+2,received,19/00811/FUL-1-1,19/00811/FUL-1-1-1,,2020-12-13,2019-10-14,,
172,received,P/00044/18-1-1,P/00044/18-1-1-1,,2020-12-24,2020-02-06,,
2E+4,received,P/00197/11-1-2,P/00197/11-1-2-1,,2020-12-30,2019-07-23,,
653,received,P/00235/19-1-1,P/00235/19-1-1-1,,1900-01-01,2019-06-19,,
688,received,P/00419/17-1-1,P/00419/17-1-1-1,,2020-12-24,2020-04-17,,
602316,received,P/00563/06-1-1,P/00563/06-1-1-1,,2009-01-08,2009-01-08,,
77723,received,P/00563/06-1-1,P/00563/06-1-1-2,,2020-12-30,2019-12-10,,
2E+5,allocated,P/00563/06-1-1,P/00563/06-1-1-3,,2020-12-30,2020-07-06,,
8.5E+4,received,P/00563/06-1-2,P/00563/06-1-2-2,,2009-01-08,2009-01-08,,
1E+4,received,P/00563/06-1-3,P/00563/06-1-3-3,,1900-01-01,1900-01-01,,
2.5E+5,received,P/00563/06-1-4,P/00563/06-1-4-4,,1900-01-01,1900-01-01,,
2.5E+4,received,P/00563/06-1-5,P/00563/06-1-5-6,,1900-01-01,1900-01-01,,
3.5E+4,received,P/00563/06-1-6,P/00563/06-1-6-5,,2010-06-22,2010-06-22,,
35357.76,received,P/00633/17-2-1,P/00633/17-2-1-1,,2020-12-30,2020-01-22,,
749,received,P/00638/18-1-1,P/00638/18-1-1-1,,1900-01-01,1900-01-01,,
7E+3,received,P/00638/18-1-2,P/00638/18-1-2-1,,2020-12-30,2019-09-18,,
6.7E+3,received,P/00759/18-1-2,P/00759/18-1-2-1,,2020-12-23,2019-11-28,,
6.7E+3,received,P/00759/18-1-2,P/00759/18-1-2-2,,2020-12-23,2019-11-28,,
6.9E+3,received,P/00759/18-1-2,P/00759/18-1-2-3,,2020-12-23,2020-03-03,,
5.5E+3,received,P/00798/17-1-1,P/00798/17-1-1-1,,2020-12-30,2019-12-13,,
1E+4,received,P/00798/17-1-3,P/00798/17-1-3-1,,2020-12-24,2019-12-10,,
5.1E+3,received,P/00893/17-1-1,P/00893/17-1-1-1,,1900-01-01,2019-05-21,,
2.5E+5,received,P/00944/12-1-1,P/00944/12-1-1-1,,2020-12-30,2019-09-30,,
1.035E+4,received,P/00981/18-1-1,P/00981/18-1-1-1,,2021-02-09,2020-12-23,,
8.25E+3,received,P/00981/18-1-1,P/00981/18-1-1-2,,2021-02-09,2020-10-13,,
9.75E+3,received,P/00981/18-1-1,P/00981/18-1-1-3,,2021-02-09,2020-10-13,,
6.93E+3,received,P/00981/18-1-2,P/00981/18-1-2-1,,2021-02-09,2019-10-16,,
2.5E+4,received,P/01373/09-1-1,P/01373/09-1-1-1,,1900-01-01,1900-01-01,,
6E+4,received,P/01373/09-1-1,P/01373/09-1-1-2,,1900-01-01,1900-01-01,,
7E+4,received,P/01373/09-1-1,P/01373/09-1-1-3,,1900-01-01,1900-01-01,,
1.5E+4,received,P/01373/09-1-1,P/01373/09-1-1-4,,1900-01-01,1900-01-01,,
2.5E+5,received,P/01373/09-1-2,P/01373/09-1-2-5,,1900-01-01,1900-01-01,,
7.5E+5,received,P/01373/09-1-2,P/01373/09-1-2-6,,1900-01-01,1900-01-01,,
238326,received,P/01373/09-1-3,P/01373/09-1-3-7,,1900-01-01,1900-01-01,,
1266876,received,P/01373/09-1-4,P/01373/09-1-4-8,,1900-01-01,2017-02-14,,
5.41E+5,received,P/01373/09-1-4,P/01373/09-1-4-9,,1900-01-01,2019-12-17,,
5.41E+5,received,P/01373/09-1-4,P/01373/09-1-4-10,,1900-01-01,1900-01-01,,
5E+4,received,P/01373/09-1-6,P/01373/09-1-6-15,,1900-01-01,1900-01-01,,
5E+4,received,P/01373/09-1-6,P/01373/09-1-6-16,,1900-01-01,1900-01-01,,
5E+4,received,P/01373/09-1-6,P/01373/09-1-6-17,,1900-01-01,1900-01-01,,
7.5E+3,received,P/01373/09-1-9,P/01373/09-1-9-22,,1900-01-01,1900-01-01,,
7.5E+3,received,P/01373/09-1-9,P/01373/09-1-9-23,,1900-01-01,1900-01-01,,
7.5E+3,received,P/01373/09-1-9,P/01373/09-1-9-24,,1900-01-01,1900-01-01,,
1.25E+4,received,P/01373/09-1-10,P/01373/09-1-10-25,,1900-01-01,1900-01-01,,
2.5E+3,received,P/01373/09-1-10,P/01373/09-1-10-26,,2012-01-12,2012-01-12,,
7.5E+3,received,P/01373/09-1-10,P/01373/09-1-10-27,,2013-01-12,2013-01-12,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-40,,1900-01-01,1900-01-01,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-41,,2012-09-08,2012-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-42,,2013-09-08,2013-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-43,,2014-09-08,2014-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-44,,2015-09-08,2015-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-45,,2016-09-08,2016-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-46,,2017-09-08,2017-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-47,,2018-09-08,2018-09-08,,
5E+2,received,P/01373/09-1-11,P/01373/09-1-11-48,,2019-09-08,2019-09-08,,
4.2E+3,received,P/01423/17-1-2,P/01423/17-1-2-1,,2020-12-30,2020-02-04,,
