amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
4.2E+5,spent,APP/V5570/C/18/3199860-AHCSS,APP/V5570/C/18/3199860-AHCSS,,2020-08-05,local-authority-eng:ISL,2020-03-16,0,/developer-agreement-transaction/local-authority-eng/ISL/APP-V5570-C-18-3199860-AHCSS
7E+3,spent,APP/V5570/C/18/3199860-COCSS,APP/V5570/C/18/3199860-COCSS,,2020-08-05,local-authority-eng:ISL,2020-03-16,0,/developer-agreement-transaction/local-authority-eng/ISL/APP-V5570-C-18-3199860-COCSS
0,secured,APP/V5570/C/18/3199860-CFH,APP/V5570/C/18/3199860-CFH,,2020-08-05,local-authority-eng:ISL,2019-07-04,0,/developer-agreement-transaction/local-authority-eng/ISL/APP-V5570-C-18-3199860-CFH
0,secured,P092492-HW,P092492-HW,,2020-08-05,local-authority-eng:ISL,2019-12-11,0,/developer-agreement-transaction/local-authority-eng/ISL/P092492-HW
0,secured,P2015/3989/FUL-HW,P2015/3989/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-3989-FUL-HW
0,secured,P2015/3989/FUL-HWComm,P2015/3989/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-3989-FUL-HWComm
41714.36,secured,P2015/3989/FUL-HWCost,P2015/3989/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2019-12-23,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-3989-FUL-HWCost
0,secured,P2015/5260/FUL-HWComm,P2015/5260/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-5260-FUL-HWComm
51741.77,secured,P2015/5260/FUL-HWCont,P2015/5260/FUL-HWCont,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-5260-FUL-HWCont
0,secured,P2015/5260/FUL-HW,P2015/5260/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-10-02,0,/developer-agreement-transaction/local-authority-eng/ISL/P2015-5260-FUL-HW
0,secured,P2016/1999/FUL-HWComm,P2016/1999/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-transaction/local-authority-eng/ISL/P2016-1999-FUL-HWComm
20913.75,secured,P2016/1999/FUL-HWCost,P2016/1999/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-transaction/local-authority-eng/ISL/P2016-1999-FUL-HWCost
0,secured,P2016/1999/FUL-HW,P2016/1999/FUL-HW,,2020-08-05,local-authority-eng:ISL,2020-03-17,0,/developer-agreement-transaction/local-authority-eng/ISL/P2016-1999-FUL-HW
0,secured,P2016/2994/S73-HWTL,P2016/2994/S73-HWTL,,2020-08-05,local-authority-eng:ISL,2019-09-30,0,/developer-agreement-transaction/local-authority-eng/ISL/P2016-2994-S73-HWTL
0,secured,P2017/2243/FUL-CN,P2017/2243/FUL-CN,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-2243-FUL-CN
6E+4,secured,P2017/2243/FUL-AHCSS,P2017/2243/FUL-AHCSS,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-2243-FUL-AHCSS
1E+3,secured,P2017/2243/FUL-COCSS,P2017/2243/FUL-COCSS,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-2243-FUL-COCSS
0,secured,P2017/2243/FUL-CFH,P2017/2243/FUL-CFH,,2020-08-05,local-authority-eng:ISL,2019-11-13,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-2243-FUL-CFH
0,secured,P2017/3103/FUL-HWComm,P2017/3103/FUL-HWComm,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3103-FUL-HWComm
371678.89,secured,P2017/3103/FUL-HWCost,P2017/3103/FUL-HWCost,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3103-FUL-HWCost
47743.58,secured,P2017/3103/FUL-HWCS,P2017/3103/FUL-HWCS,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3103-FUL-HWCS
0,secured,P2017/3103/FUL-HW,P2017/3103/FUL-HW,,2020-08-05,local-authority-eng:ISL,2019-06-12,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3103-FUL-HW
0,secured,P2017/3242/FUL-IN,P2017/3242/FUL-IN,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3242-FUL-IN
0,secured,P2017/3242/FUL-CmN,P2017/3242/FUL-CmN,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3242-FUL-CmN
0,secured,P2017/3242/FUL-ON,P2017/3242/FUL-ON,,2020-08-05,local-authority-eng:ISL,2020-02-19,0,/developer-agreement-transaction/local-authority-eng/ISL/P2017-3242-FUL-ON
