amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
1.215E+4,returned,S278-202-C1,S278-202-C1-T4,,2020-12-22,2014-02-05,,
12769,secured,S278-203-C1,S278-203-C1-T1,,2020-12-22,2019-04-02,,
12769,allocated,S278-203-C1,S278-203-C1-T2,,2020-12-22,2020-02-17,,
8360.28,secured,S278-204-C1,S278-204-C1-T1,,2020-12-22,2020-03-09,,
8360.28,received,S278-204-C1,S278-204-C1-T2,,2020-12-22,2020-03-09,,
2.78E+3,secured,S278-205-C1,S278-205-C1-T1,,2020-12-22,2019-04-12,,
2.78E+3,allocated,S278-205-C1,S278-205-C1-T2,,2020-12-22,2020-05-01,,
29563,secured,S278-206-C1,S278-206-C1-T1,,2020-12-22,2014-07-08,,
29563,received,S278-206-C1,S278-206-C1-T2,,2020-12-22,2014-07-08,,
16178.21,secured,S278-207-C1,S278-207-C1-T1,,2020-12-22,2019-11-28,,
16178.21,received,S278-207-C1,S278-207-C1-T2,,2020-12-22,2019-11-28,,
1940.62,spent,S278-207-C1,S278-207-C1-T3,,2020-12-22,2019-11-28,,
12636.9,secured,S278-208-C1,S278-208-C1-T1,,2020-12-22,2019-03-10,,
12636.9,received,S278-208-C1,S278-208-C1-T2,,2020-12-22,2019-03-10,,
2527.38,spent,S278-208-C1,S278-208-C1-T3,,2020-12-22,2020-03-10,,
21414,secured,S278-209-C1,S278-209-C1-T1,,2020-12-22,2019-05-01,,
21414,received,S278-209-C1,S278-209-C1-T2,,2020-12-22,2019-05-01,,
2141.4,spent,S278-209-C1,S278-209-C1-T3,,2020-12-22,2020-05-01,,
7651.4,secured,S278-210-C1,S278-210-C1-T1,,2020-12-22,2019-10-17,,
7651.4,received,S278-210-C1,S278-210-C1-T2,,2020-12-22,2019-10-17,,
11766.68,secured,S278-211-C1,S278-211-C1-T1,,2020-12-22,2019-11-28,,
11766.68,received,S278-211-C1,S278-211-C1-T2,,2020-12-22,2019-11-28,,
300300.57,secured,S278-212-C1,S278-212-C1-T1,,2020-12-22,2019-01-28,,
300300.57,received,S278-212-C1,S278-212-C1-T2,,2020-12-22,2019-01-28,,
15572.89,spent,S278-212-C1,S278-212-C1-T3,,2020-12-22,2020-02-27,,
281001.84,returned,S278-212-C1,S278-212-C1-T4,,2020-12-22,2020-02-27,,
14457.16,allocated,S278-212-C1,S278-212-C1-T5,,2020-12-22,2020-02-27,,
279842.38,secured,S278-213-C1,S278-213-C1-T1,,2020-12-22,2019-05-01,,
279842.38,received,S278-213-C1,S278-213-C1-T2,,2020-12-22,2019-05-22,,
251858.15,returned,S278-213-C1,S278-213-C1-T3,,2020-12-22,2020-04-30,,
27984.23,spent,S278-213-C1,S278-213-C1-T4,,2020-12-22,2020-04-30,,
6.9E+4,secured,S278-214-C1,S278-214-C1-T1,,2020-12-22,2019-02-06,,
6.9E+4,received,S278-214-C1,S278-214-C1-T2,,2020-12-22,2019-02-06,,
6.9E+3,spent,S278-214-C1,S278-214-C1-T3,,2020-12-22,2020-03-06,,
6.21E+4,returned,S278-214-C1,S278-214-C1-T4,,2020-12-22,2020-03-06,,
77912.74,secured,S278-215-C1,S278-215-C1-T1,,2020-12-22,2019-02-06,,
6.9E+4,received,S278-215-C1,S278-215-C1-T2,,2020-12-22,2019-02-06,,
6.9E+3,spent,S278-215-C1,S278-215-C1-T3,,2020-12-22,2020-03-06,,
8912.74,received,S278-215-C1,S278-215-C1-T4,,2020-12-22,2020-05-22,,
1.5E+3,secured,S278-216-C1,S278-216-C1-T1,,2020-12-22,2016-08-08,,
