amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
2E+3,received,2092/16/FUL-CON1,1,,2016-12-02,local-authority-eng:WDE,2016-12-02,,/developer-agreement-transaction/local-authority-eng/WDE/1
31949.81,received,00358/2010-CON1,2,,2013-01-15,local-authority-eng:WDE,2013-01-15,,/developer-agreement-transaction/local-authority-eng/WDE/2
170395.56,received,00610/2015-CON1,3,,2018-06-17,local-authority-eng:WDE,2018-06-17,,/developer-agreement-transaction/local-authority-eng/WDE/3
8300.68,received,00014/2014-CON1,4,,2014-09-02,local-authority-eng:WDE,2014-09-02,,/developer-agreement-transaction/local-authority-eng/WDE/4
26194.44,received,0825/16/F-CON1,5,,2017-08-31,local-authority-eng:WDE,2017-08-31,,/developer-agreement-transaction/local-authority-eng/WDE/5
113865.89,secured,2022/16/OPA-CON1,6,,2017-05-11,local-authority-eng:WDE,2017-05-11,,/developer-agreement-transaction/local-authority-eng/WDE/6
76593.93,secured,2092/16/FUL-CON1,7,,2016-12-02,local-authority-eng:WDE,2016-12-02,,/developer-agreement-transaction/local-authority-eng/WDE/7
1.05E+3,received,01037/2013-CON1,8,,2016-02-08,local-authority-eng:WDE,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/8
-2.1E+4,received,01037/2013-CON2,9,,2016-02-08,local-authority-eng:WDE,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/9
-3439,received,01037/2013-CON3,10,,2016-02-08,local-authority-eng:WDE,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/10
-8862,received,01037/2013-CON4,11,,2016-02-08,local-authority-eng:WDE,2016-02-08,,/developer-agreement-transaction/local-authority-eng/WDE/11
