amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
49521.63,received,12/00895/OUTM-CF,12/00895/OUTM-CF-2,,2020-12-16,local-authority-eng:NEA,2019-12-23,,/developer-agreement-transaction/local-authority-eng/NEA/12-00895-OUTM-CF-2
56596.15,received,12/00895/OUTM-CF,12/00895/OUTM-CF-2a,,2020-12-16,local-authority-eng:NEA,2020-03-16,,/developer-agreement-transaction/local-authority-eng/NEA/12-00895-OUTM-CF-2a
,secured,18/00822/RMAM-AH,18/00822/RMAM-AH-1p,,2020-12-16,local-authority-eng:NEA,2016-11-03,8,/developer-agreement-transaction/local-authority-eng/NEA/18-00822-RMAM-AH-1p
33075,secured,18/00822/RMAM-CF,18/00822/RMAM-CF-1,,2020-12-16,local-authority-eng:NEA,2016-11-03,,/developer-agreement-transaction/local-authority-eng/NEA/18-00822-RMAM-CF-1
67355,secured,18/00822/RMAM-ED,18/00822/RMAM-ED-1,,2020-12-16,local-authority-eng:NEA,2016-11-03,,/developer-agreement-transaction/local-authority-eng/NEA/18-00822-RMAM-ED-1
,secured,18/00822/RMAM-OS,18/00822/RMAM-OS-1p,,2020-12-16,local-authority-eng:NEA,2016-11-03,671,/developer-agreement-transaction/local-authority-eng/NEA/18-00822-RMAM-OS-1p
,secured,18/00822/RMAM-OS,18/00822/RMAM-OS-1pa,,2020-12-16,local-authority-eng:NEA,2016-11-03,1093,/developer-agreement-transaction/local-authority-eng/NEA/18-00822-RMAM-OS-1pa
40162.5,secured,16/00135/FULM-CF,16/00135/FULM-CF-1,,2020-12-16,local-authority-eng:NEA,2017-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/16-00135-FULM-CF-1
80185,secured,16/00135/FULM-ED,16/00135/FULM-ED-1,,2020-12-16,local-authority-eng:NEA,2017-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/16-00135-FULM-ED-1
,secured,16/00135/FULM-OS,16/00135/FULM-OS-1p,,2020-12-16,local-authority-eng:NEA,2017-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/16-00135-FULM-OS-1p
30709.48,secured,16/00135/FULM-OS,16/00135/FULM-OS-1,,2020-12-16,local-authority-eng:NEA,2017-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/16-00135-FULM-OS-1
9365.98,secured,16/00135/FULM-OS,16/00135/FULM-OS-1a,,2020-12-16,local-authority-eng:NEA,2017-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/16-00135-FULM-OS-1a
83756.44,received,16/00337/OUTM-ED,16/00337/OUTM-ED-2,,2020-12-16,local-authority-eng:NEA,2019-12-06,,/developer-agreement-transaction/local-authority-eng/NEA/16-00337-OUTM-ED-2
35973.75,received,16/01144/FULM-CF,16/01144/FULM-CF-2,,2020-12-16,local-authority-eng:NEA,2018-09-25,,/developer-agreement-transaction/local-authority-eng/NEA/16-01144-FULM-CF-2
35973.75,allocated,16/01144/FULM-CF,16/01144/FULM-CF-3,,2020-12-16,local-authority-eng:NEA,2019-06-28,,/developer-agreement-transaction/local-authority-eng/NEA/16-01144-FULM-CF-3
30973.75,spent,16/01144/FULM-CF,16/01144/FULM-CF-5,,2020-12-16,local-authority-eng:NEA,2020-03-31,,/developer-agreement-transaction/local-authority-eng/NEA/16-01144-FULM-CF-5
469993.43,received,15/00523/RMAM-AH,15/00523/RMAM-AH-2,,2020-12-16,local-authority-eng:NEA,2019-03-06,,/developer-agreement-transaction/local-authority-eng/NEA/15-00523-RMAM-AH-2
261462.23,received,15/00523/RMAM-CF,15/00523/RMAM-CF-2,,2020-12-16,local-authority-eng:NEA,2019-03-06,,/developer-agreement-transaction/local-authority-eng/NEA/15-00523-RMAM-CF-2
3E+3,spent,15/00523/RMAM-CF,15/00523/RMAM-CF-5,,2020-12-16,local-authority-eng:NEA,2019-11-21,,/developer-agreement-transaction/local-authority-eng/NEA/15-00523-RMAM-CF-5
4425,spent,15/00523/RMAM-CF,15/00523/RMAM-CF-5a,,2020-12-16,local-authority-eng:NEA,2020-03-09,,/developer-agreement-transaction/local-authority-eng/NEA/15-00523-RMAM-CF-5a
