amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
3696.88,secured,PF/18/1089_1.116_LIB,PF/18/1089_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBS
1033288.56,secured,06/13/0652/O_6.32_ED,06/13/0652/O_EDS,,2020-12-04,local-authority-eng:NFK,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDS
2.55E+4,secured,06/13/0652/O_6.32_LIB,06/13/0652/O_LIBS,,2020-12-04,local-authority-eng:NFK,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBS
3E+2,secured,13/00610/F_4.97_MON,13/00610/F_MONS,,2020-12-04,local-authority-eng:NFK,2019-12-18,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONS
5667.05,secured,14/1212_1.85_LIB,14/1212_LIBS,,2020-12-04,local-authority-eng:NFK,2019-10-10,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-LIBS
497514.1,secured,14/1212_1.85_ED,14/1212_EDS,,2020-12-04,local-authority-eng:NFK,2020-02-28,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDS
2112.54,secured,2015/0279/O_3.15_LIB,2015/0279/O_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0279-O-LIBS
67342.82,secured,14/0284_1.79b_ED,14/0284_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-26,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDS
91983,secured,2013/0265_2.114_ED,2013/0265_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-21,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-EDS
3862.7,secured,2013/0265_2.114_LIB,2013/0265_LIBS,,2020-12-04,local-authority-eng:NFK,2019-08-05,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-LIBS
8073.71,secured,06/15/0737/F_6.26_LIB,06/15/0737/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBS
461171.44,secured,2007/0262_3.41_ED,2007/0262_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-16,,/developer-agreement-transaction/local-authority-eng/NFK/2007-0262-EDS
10339.11,secured,2013/0467_7.108_LIB,2013/0467_LIBS,,2020-12-04,local-authority-eng:NFK,2019-12-03,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-LIBS
366786,secured,PM/16/0253_1.76a_ED,PM/16/0253_EDS,,2020-12-04,local-authority-eng:NFK,2020-03-10,,/developer-agreement-transaction/local-authority-eng/NFK/PM-16-0253-EDS
135393,secured,2014/0620_3.135_ED,2014/0620_EDS,,2020-12-04,local-authority-eng:NFK,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/2014-0620-EDS
111339.93,secured,06/13/0643/F_6.66_ED,06/13/0643/F_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDS
1.68E+3,secured,06/13/0643/F_6.66_LIB,06/13/0643/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-LIBS
7638,secured,2010/2225_7.76_ED,2010/2225_EDS,,2020-12-04,local-authority-eng:NFK,2019-10-29,,/developer-agreement-transaction/local-authority-eng/NFK/2010-2225-EDS
366243.98,secured,2011/1284_7.88_ED,2011/1284_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/2011-1284-EDS
168783,secured,2015/1191_3.162_ED,2015/1191_EDS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-EDS
7339.11,secured,2015/1191_3.162_LIB,2015/1191_LIBS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-LIBS
266287.69,secured,14/01022_2.127_ED,14/01022_EDS,,2020-12-04,local-authority-eng:NFK,2020-02-11,,/developer-agreement-transaction/local-authority-eng/NFK/14-01022-EDS
94327,secured,2013/0854_7.117_ED,2013/0854_EDS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-EDS
2709.47,secured,2013/0854_7.117_LIB,2013/0854_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-02,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-LIBS
1289700.34,secured,2012/0371_7.85b_ED,2012/0371_EDS,,2020-12-04,local-authority-eng:NFK,2019-06-05,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDS
353688.24,secured,2012/0371_7.85b_ED,2012/0371_EDS,,2020-12-04,local-authority-eng:NFK,2020-01-31,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDS
117575.5,secured,2015/0219_3.96_ED,2015/0219_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-20,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-EDS
4970.21,secured,2015/0219_3.96_LIB,2015/0219_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-LIBS
3295.65,secured,PF/17/1951_1.90_LIB,PF/17/1951_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/PF-17-1951-LIBS
6946.93,secured,05/00691/OM_2.11_LIB,05/00691/OM_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/05-00691-OM-LIBS
168651,secured,15/1010_1.100_ED,15/1010_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/15-1010-EDS
3351.36,secured,2012/1604_5.68_LIB,2012/1604_5.68_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2012-1604-5-68-LIBS
189905.62,secured,06/15/0309/F_6.76_ED,06/15/0309/F_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-EDS
15766.96,secured,06/15/0309/F_6.76_LIB,06/15/0309/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-LIBS
1403.3,secured,2017/1351/F_3.197_LIB,2017/1351/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2017-1351-F-LIBS
49218,secured,2013/0467_7.108_ED,2013/0467_EDS,,2020-12-04,local-authority-eng:NFK,2019-12-03,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-EDS
2166681.48,secured,20080367_5.28_ED,20080367_EDS,,2020-12-04,local-authority-eng:NFK,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-EDS
3696.88,received,PF/18/1089_1.116_LIB,PF/18/1089_LIBR,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBR
1.2E+3,received,20130680_5.46_MON,20130680_MONR,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/20130680-MONR
1033288.56,received,06/13/0652/O_6.32_ED,06/13/0652/O_EDR,,2020-12-04,local-authority-eng:NFK,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDR
2.55E+4,received,06/13/0652/O_6.32_LIB,06/13/0652/O_LIBR,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBR
3E+2,received,13/00610/F_4.97_MON,13/00610/F_MONR,,2020-12-04,local-authority-eng:NFK,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONR
497514.1,received,14/1212_1.85_ED,14/1212_EDR,,2020-12-04,local-authority-eng:NFK,2020-03-17,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDR
