amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
137.41,received,18/01030/FUL- con,18/01030/FUL-rec,,2020-12-01,2019-04-05,,
1009.29,received,18/02146/FUL-con,18/02146/FUL-rec,,2020-12-01,2019-05-07,,
17985,secured,17/02215/RMA-con,17/02215/RMA-dem,2019-05-31,2020-12-01,2019-05-10,,
113048.5,received,17/01055/RMAM-con,17/01055/RMAM-rec,,2020-12-01,2019-05-16,,
322691.36,secured,15/01295/FULM-con,15/01295/FULM-dem,,2020-12-01,2019-05-17,,
80221.91,secured,17/01846/FUL-con,17/01846/FUL-dem,,2020-12-01,2019-05-22,,
322691.36,received,15/01295/FULM-con,15/01295/FULM-rec,,2020-12-01,2019-05-29,,
19247.7,secured,18/02304/FUL-con,18/02304/FUL-dem,,2020-12-01,2019-05-31,,
15435,received,17/02215/RMA-con,17/02215/RMA-rec,,2020-12-01,2019-06-04,,
15435,secured,17/02215/RMA-con,17/02215/RMA-dem,,2020-12-01,2019-06-04,,
5E+4,received,17/01846/FUL-con,17/01846/FUL-rec,,2020-12-01,2019-06-07,,
166275.31,received,18/01645/RMAM-con,18/01645/RMAM-rec,,2020-12-01,2019-06-12,,
30221.91,received,17/01846/FUL-con,17/01846/FUL-rec,,2020-12-01,2019-06-21,,
96913.25,received,14/00161/FULM-con,14/00161/FULM-rec,,2020-12-01,2019-06-28,,
14768.81,secured,18/02153/FUL-con,18/02153/FUL-dem,,2020-12-01,2019-07-03,,
6541.2,received,17/00029/FUL-con,17/00029/FUL-rec,,2020-12-01,2019-07-09,,
6541.2,secured,17/00029/FUL-con,17/00029/FUL-dem,,2020-12-01,2019-07-09,,
19247.7,received,18/02304/FUL-con,18/02304/FUL-rec,,2020-12-01,2019-07-10,,
19677.76,secured,18/00597/FULM-con,18/00597/FULM-dem,,2020-12-01,2019-08-02,,
166275.2,received,18/01645/RMAM-con,18/01645/RMAM-rec,,2020-12-01,2019-08-30,,
96913.25,received,14/00161/FULM-con,14/00161/FULM-rec,,2020-12-01,2019-08-30,,
2590.46,secured,17/01248/FUL-con,17/01248/FUL-dem,,2020-12-01,2019-09-04,,
19677.76,received,18/00597/FULM-con,18/00597/FULM-rec,,2020-12-01,2019-09-06,,
2590.46,received,17/01248/FUL-con,17/01248/FUL-rec,,2020-12-01,2019-09-18,,
1004053.47,secured,18/00526/RMAM-con,18/00526/RMAM-dem,,2020-12-01,2019-09-25,,
17715.11,secured,18/00953/FUL-con,18/00953/FUL-dem,,2020-12-01,2019-10-16,,
17715.11,received,18/00953/FUL-con,18/00953/FUL-rec,,2020-12-01,2019-10-17,,
22239.68,secured,15/00501/FULM-con,15/00501/FULM-dem,,2020-12-01,2019-10-23,,
2480.32,secured,14/00353/FUL-con,14/00353/FUL-dem,,2020-12-01,2019-10-23,,
251014.47,received,18/00526/RMAM-con,18/00526/RMAM-rec,,2020-12-01,2019-10-25,,
1E+3,received,18/00710/FUL phase 2b-con,18/00710/FUL phase 2b-rec,,2020-12-01,2019-11-05,,
5825.01,secured,18/01497/FUL-con,18/01497/FUL-dem,,2020-12-01,2019-11-20,,
251013,received,18/00526/RMAM-con,18/00526/RMAM-rec,,2020-12-01,2019-11-27,,
8.95E+4,secured,18/01020/FULM-con,18/01020/FULM-dem,,2020-12-01,2019-11-28,,
11066,secured,18/00123/FUL-con,18/00123/FUL-dem,2019-12-24,2020-12-01,2019-11-29,,
3161.28,secured,15/00429/FUL-con,15/00429/FUL-dem,,2020-12-01,2019-11-29,,
12024,received,17/00959/FUL-con,17/00959/FUL-rec,,2020-12-01,2019-12-03,,
12024,secured,17/00959/FUL-con,17/00959/FUL-dem,,2020-12-01,2019-12-17,,
5.1E+4,secured,19/00490/FUL-con,19/00490/FUL-dem,,2020-12-01,2020-01-03,,
9.18E+3,secured,18/00123/FUL-con,18/00123/FUL-dem,,2020-12-01,2020-01-03,,
14768.81,received,18/02153/FUL-con,18/02153/FUL-rec,,2020-12-01,2020-01-06,,
22375,received,18/01020/FULM-con,18/01020/FULM-rec,,2020-12-01,2020-01-15,,
7439.68,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-01-21,,
5825.01,received,18/01497/FUL-con,18/01497/FUL-rec,,2020-12-01,2020-02-14,,
7.4E+3,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-02-21,,
96913.25,received,14/00161/FULM-con,14/00161/FULM-rec,,2020-12-01,2020-02-28,,
5396.98,secured,18/01241/FUL-con,18/01241/FUL-dem,,2020-12-01,2020-02-28,,
2480.32,received,14/00353/FUL-con,14/00353/FUL-rec,,2020-12-01,2020-03-05,,
166275.2,received,18/01645/RMAM-con,18/01645/RMAM-rec,,2020-12-01,2020-03-11,,
4.9E+4,secured,19/01615/con,19/01615/RMA-dem,,2020-12-01,2020-03-13,,
5.1E+4,received,19/00490/FUL-con,19/00490/FUL-rec,,2020-12-01,2020-03-20,,
7.4E+3,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-03-26,,
