amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,allocated,12/00598/S106/2,12/00598/S106/2/T1,2020-02-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-2-T1
,spent,12/00598/S106/2,12/00598/S106/2/T2,,2020-12-10,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-2-T2
,allocated,12/00598/S106/3,12/00598/S106/3/T1,2020-02-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-3-T1
,spent,12/00598/S106/3,12/00598/S106/3/T2,,2020-12-10,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-00598-S106-3-T2
,allocated,12/01166/S106/2,12/01166/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01166-S106-2-T1
,allocated,12/01166/S106/4,12/01166/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01166-S106-4-T1
,received,12/01233/S106/1,12/01233/S106/1/T1,2020-01-01,2020-12-11,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T1
,allocated,12/01233/S106/1,12/01233/S106/1/T2,2020-01-02,2020-12-10,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T2
,spent,12/01233/S106/1,12/01233/S106/1/T3,,2020-12-10,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-1-T3
,spent,12/01233/S106/2,12/01233/S106/2/T1,,2020-12-10,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T1
,received,12/01233/S106/2,12/01233/S106/2/T2,2020-01-01,2020-12-11,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T2
,allocated,12/01233/S106/2,12/01233/S106/2/T3,2020-01-01,2020-12-11,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01233-S106-2-T3
,allocated,12/01234/S106/1,12/01234/S106/1/T1,2020-02-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-1-T1
,spent,12/01234/S106/1,12/01234/S106/1/T2,,2020-12-10,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-1-T2
,allocated,12/01234/S106/2,12/01234/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-2-T1
,allocated,12/01234/S106/3,12/01234/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01234-S106-3-T1
,allocated,12/01392/S106/1,12/01392/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01392-S106-1-T1
,allocated,12/01514/S106/2,12/01514/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01514-S106-2-T1
,allocated,12/01957/S106/1,12/01957/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/12-01957-S106-1-T1
,allocated,13/00293/S106/10,13/00293/S106/10/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-10-T1
,spent,13/00293/S106/11,13/00293/S106/11/T1,,2020-12-10,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-11-T1
,allocated,13/00293/S106/11,13/00293/S106/11/T2,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/13-00293-S106-11-T2
