amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
17064.8,received,20110802AH,20110802AHR,,2020-11-25,local-authority-eng:NLN,2019-05-06,,/developer-agreement-transaction/local-authority-eng/NLN/20110802AHR
1.364E+5,received,20130643AH,20130643AHR,,2020-11-04,local-authority-eng:NLN,2015-04-22,,/developer-agreement-transaction/local-authority-eng/NLN/20130643AHR
3.45E+4,allocated,20130643AH,20130643AHR,,2020-11-04,local-authority-eng:NLN,2015-04-22,,/developer-agreement-transaction/local-authority-eng/NLN/20130643AHR
16119.36,received,20111464AH,201114646AHR,,2020-11-06,local-authority-eng:NLN,2015-12-02,,/developer-agreement-transaction/local-authority-eng/NLN/201114646AHR
3.636E+4,received,20140270AH,20140270AHR,,2020-11-06,local-authority-eng:NLN,2016-03-22,,/developer-agreement-transaction/local-authority-eng/NLN/20140270AHR
55080.81,received,20151195AH,20151195AHR,,2020-11-06,local-authority-eng:NLN,2018-05-01,,/developer-agreement-transaction/local-authority-eng/NLN/20151195AHR
20999.8,received,20150597AH,20150597AHR,,2020-11-06,local-authority-eng:NLN,2015-07-03,,/developer-agreement-transaction/local-authority-eng/NLN/20150597AHR
48792.15,received,20150228AH,20150228AHR,,2020-11-06,local-authority-eng:NLN,2018-08-13,,/developer-agreement-transaction/local-authority-eng/NLN/20150228AHR
206880.96,received,20161793AH,20161793AHR,,2020-11-06,local-authority-eng:NLN,2019-11-11,,/developer-agreement-transaction/local-authority-eng/NLN/20161793AHR
,secured,20140196AH,20140196AHR,,2020-11-12,local-authority-eng:NLN,2020-01-09,4,/developer-agreement-transaction/local-authority-eng/NLN/20140196AHR
,secured,20171002AH,20171002AHR,,2020-11-12,local-authority-eng:NLN,2019-04-30,2,/developer-agreement-transaction/local-authority-eng/NLN/20171002AHR
,secured,20161405AH,20161405AHR,,2020-11-12,local-authority-eng:NLN,2019-05-29,4,/developer-agreement-transaction/local-authority-eng/NLN/20161405AHR
,secured,20170992AH,20170992AHR,,2020-11-12,local-authority-eng:NLN,2019-05-29,1,/developer-agreement-transaction/local-authority-eng/NLN/20170992AHR
,secured,20170990AH,20170990AHR,,2020-11-12,local-authority-eng:NLN,2019-05-29,1,/developer-agreement-transaction/local-authority-eng/NLN/20170990AHR
,secured,20180217AH,20180217AHR,,2020-11-12,local-authority-eng:NLN,2019-05-29,16,/developer-agreement-transaction/local-authority-eng/NLN/20180217AHR
,secured,20151531AH,20151531AHR,,2020-11-12,local-authority-eng:NLN,2019-06-03,12,/developer-agreement-transaction/local-authority-eng/NLN/20151531AHR
,secured,20161601AH,20161601AHR,,2020-11-12,local-authority-eng:NLN,2019-08-23,27,/developer-agreement-transaction/local-authority-eng/NLN/20161601AHR
,secured,20170986AH,20170986AHR,,2020-11-12,local-authority-eng:NLN,2019-10-07,1,/developer-agreement-transaction/local-authority-eng/NLN/20170986AHR
,secured,20180751AH,20180751AHR,,2020-11-12,local-authority-eng:NLN,2019-10-07,1,/developer-agreement-transaction/local-authority-eng/NLN/20180751AHR
,secured,20190414AH,20190414AHR,,2020-11-12,local-authority-eng:NLN,2020-01-09,1,/developer-agreement-transaction/local-authority-eng/NLN/20190414AHR
,secured,20172008AH,20172008AHR,,2020-11-12,local-authority-eng:NLN,2020-02-28,14,/developer-agreement-transaction/local-authority-eng/NLN/20172008AHR
,secured,20180425AH,20180425AHR,,2020-11-12,local-authority-eng:NLN,2019-04-30,6,/developer-agreement-transaction/local-authority-eng/NLN/20180425AHR
12694.08,returned,20150528AH,20150528AHR,,2020-11-06,local-authority-eng:NLN,2019-08-02,,/developer-agreement-transaction/local-authority-eng/NLN/20150528AHR
67949.16,allocated,20060782ED,20060782EDR,,2020-11-06,local-authority-eng:NLN,2011-06-17,,/developer-agreement-transaction/local-authority-eng/NLN/20060782EDR
61298.37,received,20051399ED1,20051399ED1R,,2020-11-06,local-authority-eng:NLN,2008-11-19,,/developer-agreement-transaction/local-authority-eng/NLN/20051399ED1R
40026.65,received,20051399ED2,20051399ED2R,,2020-11-06,local-authority-eng:NLN,2011-07-19,,/developer-agreement-transaction/local-authority-eng/NLN/20051399ED2R
78344,received,20051399ED3,20051399ED3R,,2020-11-06,local-authority-eng:NLN,2012-10-10,,/developer-agreement-transaction/local-authority-eng/NLN/20051399ED3R
52433,received,20071970ED2,20071970ED2R,,2020-11-06,local-authority-eng:NLN,2018-08-24,,/developer-agreement-transaction/local-authority-eng/NLN/20071970ED2R
69048,received,20071970ED3,20071970ED3R,,2020-11-06,local-authority-eng:NLN,2020-01-15,,/developer-agreement-transaction/local-authority-eng/NLN/20071970ED3R
109506.44,received,20151308ED1,20151308ED1R,,2020-11-06,local-authority-eng:NLN,2018-05-01,,/developer-agreement-transaction/local-authority-eng/NLN/20151308ED1R
