amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
,,,3_XX_XXXX_XX-cx-Tx,,2021-02-15,,,
,,,"SECURED: the trigger clauses associated with the contribution have been met, meaning the developer is now required to pay all or part of the contribution",,2021-02-15,,,
,,,RECEIVED: the developer has paid all or part of the money due to the local planning authority,,2021-02-15,,,
,,,"ALLOCATED: the received money has been allocated to a team within the local planning authority, who will spend the money",,2021-02-15,,,
,,,"TRANSFERRED: the received money has been transferred to an organisation outside the planning authority (for example another local authority or Transport for London), who will spend the money",,2021-02-15,,,
,,,SPENT: the received money has been spent on the purpose specified in the section 106 or 278 agreement,,2021-02-15,,,
,,,RETURNED: the received money (or a portion of it) has been returned to the developer,,2021-02-15,,,
,secured,,3_15_1691_OUT-c1-T1,,2021-02-15,2019-04-10,3,
1.05E+4,received,,3_17_1222_VAR-c1-T1,,2021-02-15,2019-04-10,,
2879,received,,3_17_1222_VAR-c2 -T1,,2021-02-15,2019-04-10,,
8071.44,received,,3_17_1222_VAR-c3-T1,,2021-02-15,2019-04-10,,
17942.47,received,,3_17_1222_VAR-c4-T1,,2021-02-15,2019-04-10,,
936,spent,,3_17_1222_VAR-c5-T1,,2021-02-15,2019-04-10,,
3.1E+3,allocated,,3_17_1222_VAR-c5-T1,,2021-02-15,2019-04-10,,
,secured,,3_18_0031_FUL-c1-T1,,2021-02-15,2019-07-16,12,
2.727E+4,secured,,3_18_0031_FUL-c2-T1,,2021-02-15,2019-07-16,,
1.863E+4,secured,,3_18_0031_FUL-c3-T1,,2021-02-15,2019-07-16,,
4.089E+4,secured,,3_18_0031_FUL-c4-T1,,2021-02-15,2019-07-16,,
2.16E+3,secured,,3_18_0031_FUL-c5-T1,,2021-02-15,2019-07-16,,
568437,secured,,3_18_1234_FUL-c1-T1,,2021-02-15,2019-09-18,,
,secured,,3_18_2457_FUL-c1-T1,,2021-02-15,2019-10-24,26,
17155,secured,,3_18_2457_FUL-c2-T1,,2021-02-15,2019-10-24,,
16154,secured,,3_18_2457_FUL-c4-T1,,2021-02-15,2019-10-24,,
2.678E+4,secured,,3_18_2457_FUL-c5-T1,,2021-02-15,2019-10-24,,
60527,secured,,3_18_2457_FUL-c9-T1,,2021-02-15,2019-10-24,,
4.68E+3,secured,,3_18_2457_FUL-c11-T1,,2021-02-15,2019-10-24,,
,received,,3_19_0408_FUL-c1-T1,,2021-02-15,2019-10-28,9,
2918,received,,3_19_0408_FUL-c2-T1,,2021-02-15,2019-10-28,,
5231,spent,,3_19_0408_FUL-c3-T1,,2021-02-15,2019-10-28,,
19761,received,,3_19_0408_FUL-c6-T1,,2021-02-15,2019-10-28,,
,,,3_18_1898_VAR-c1-T1,,2021-02-15,2019-12-19,,
,,,3_18_2253_OUT-c1-T1,,2021-02-15,2019-12-19,299,
72597,,,3_18_2253_OUT-c2-T1,,2021-02-15,2019-12-19,,
1.27E+4,,,3_18_2253_OUT-c6-T1,,2021-02-15,2019-12-19,,
1E+4,,,3_18_2253_OUT-c9-T1,,2021-02-15,2019-12-19,,
156939,,,3_18_2253_OUT-c12-T1,,2021-02-15,2019-12-19,,
530832,,,3_18_2253_OUT-c13-T1,,2021-02-15,2019-12-19,,
765835,,,3_18_2253_OUT-c14-T1,,2021-02-15,2019-12-19,,
5.7E+3,,,3_18_2253_OUT-c16-T1,,2021-02-15,2019-12-19,,
476234,,,3_18_2253_OUT-c17-T1,,2021-02-15,2019-12-19,,
5E+4,,,3_18_2253_OUT-c22-T1,,2021-02-15,2019-12-19,,
,,,3_18_2465_OUT -c1-T1,,2021-02-15,2019-12-19,56,
38145,,,3_18_2465_OUT -c3-T1,,2021-02-15,2019-12-19,,
68872,,,3_18_2465_OUT -c5-T1,,2021-02-15,2019-12-19,,
68261,,,3_18_2465_OUT -c6-T1,,2021-02-15,2019-12-19,,
265426.2,,,3_18_2465_OUT -c8-T1,,2021-02-15,2019-12-19,,
93255.47,,,3_18_2465_OUT -c9-T1,,2021-02-15,2019-12-19,,
72922,,,3_18_2465_OUT -c11-T1,,2021-02-15,2019-12-19,,
2.7E+4,,,3_18_2465_OUT -c13-T1,,2021-02-15,2019-12-19,,
258272.84,,,3_18_2465_OUT -c16-T1,,2021-02-15,2019-12-19,,
,,,3_18_1523_FUL-c1-T1,,2021-02-15,2020-01-16,80,
22493,,,3_18_1523_FUL-c2-T1,,2021-02-15,2020-01-16,,
1.4156E+5,,,3_18_1523_FUL-c4-T1,,2021-02-15,2020-01-16,,
1.2E+3,,,3_18_1523_FUL-c6-T1,,2021-02-15,2020-01-16,,
,,,3_19_0308_FUL-c1 -T1,,2021-02-15,2020-01-23,19,
4802.98,,,3_19_0308_FUL-c2-T1,,2021-02-15,2020-01-23,,
11741.83,,,3_19_0308_FUL-c5-T1,,2021-02-15,2020-01-23,,
32519.23,,,3_19_0308_FUL-c6-T1,,2021-02-15,2020-01-23,,
,,,3_18_1760_FUL-c1-T1,,2021-02-15,2020-03-27,56,
2.1E+3,,,3_18_1760_FUL-c7-T1,,2021-02-15,2020-03-27,,
25128,,,3_18_1760_FUL-c8-T1,,2021-02-15,2020-03-27,,
1.2276E+5,,,3_18_1760_FUL-c9-T1,,2021-02-15,2020-03-27,,
25192,,,3_18_1760_FUL-c10-T1,,2021-02-15,2020-03-27,,
13408,,,3_18_1760_FUL-c11-T1,,2021-02-15,2020-03-27,,
99092,,,3_18_1760_FUL-c12-T1,,2021-02-15,2020-03-27,,
