amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
1084.55,received,17/01853/CILADMIN,17/01853/CILADMIN1,,2019-09-18,local-authority-eng:EPS,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN1
1084.55,received,17/01853/CILADMIN,17/01853/CILADMIN2,,2019-09-18,local-authority-eng:EPS,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN2
,secured,17/01853/CILADMIN,17/01853/CILADMIN3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN3
3253.67,received,17/01853/NEIGHBOURHOOD,17/01853/NEIGHBOURHOOD1,,2019-09-18,local-authority-eng:EPS,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD1
3253.67,received,17/01853/NEIGHBOURHOOD,17/01853/NEIGHBOURHOOD2,,2019-09-18,local-authority-eng:EPS,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD2
,secured,17/01853/NEIGHBOURHOOD,17/01853/NEIGHBOURHOOD3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD3
17352.9,received,17/01853/IDP,17/01853/IDP1,,2019-09-18,local-authority-eng:EPS,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP1
17352.9,received,17/01853/IDP,17/01853/IDP2,,2019-09-18,local-authority-eng:EPS,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP2
,secured,17/01853/IDP,17/01853/IDP3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP3
2455,received,18/00743/CILADMIN,18/00743/CILADMIN1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN1
2455,received,18/00743/CILADMIN,18/00743/CILADMIN2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN2
,secured,18/00743/CILADMIN,18/00743/CILADMIN3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN3
7365.03,received,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD1
7365,received,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD2
,secured,18/00743/NEIGHBOURHOOD,18/00743/NEIGHBOURHOOD3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD3
39280.14,received,18/00743/IDP,18/00743/IDP1,,2019-09-18,local-authority-eng:EPS,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP1
3.928E+4,received,18/00743/IDP,18/00743/IDP2,,2019-09-18,local-authority-eng:EPS,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP2
,secured,18/00743/IDP,18/00743/IDP3,,2019-09-18,local-authority-eng:EPS,,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-IDP3
