amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
1.002E+4,received,AWDM/0969/17-CyclePedestrianLinks,AWDM/0969/17-CyclePedestrianLinks-recd,,2020-02-13,local-authority-eng:ADU,2019-05-16,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0969-17-CyclePedestrianLinks-recd
32653.06,received,AWDM/0969/17-AffHousing,AWDM/0969/17-AffHousing-recd,,2020-02-13,local-authority-eng:ADU,2019-11-02,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0969-17-AffHousing-recd
61949.61,secured,AWDM/0935/13-PlayArea,AWDM/0935/13-PlayArea-secd,,2020-03-13,local-authority-eng:ADU,2020-03-13,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0935-13-PlayArea-secd
16895.35,secured,AWDM/0935/13-PublicArt,AWDM/0935/13-PublicArt-secd,,2020-03-13,local-authority-eng:ADU,2020-03-13,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0935-13-PublicArt-secd
15569,allocated,AWDM/1242/12-TAD,AWDM/1242/12-TAD-alctd,,2020-10-26,local-authority-eng:ADU,2020-03-31,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-1242-12-TAD-alctd
103772.76,allocated,AWDM/1483/12-Transport,AWDM/1483/12-Transport-alcd,,2020-09-25,local-authority-eng:ADU,2020-03-31,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-1483-12-Transport-alcd
2853.75,spent,SU/56/03-OpenSpace,SU/56/03-OpenSpace-spent2,,2020-05-07,local-authority-eng:ADU,2020-03-31,,/developer-agreement-transaction/local-authority-eng/ADU/SU-56-03-OpenSpace-spent2
2.889E+5,spent,AWDM/0205/12-LeisureFacilities,AWDM/0205/12-LeisureFacilities-spent2,,2020-05-07,local-authority-eng:ADU,2020-03-31,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0205-12-LeisureFacilities-spent2
32653.06,spent,AWDM/0969/17-AffHousing,AWDM/0969/17-AffHousing-spent,,2020-05-07,local-authority-eng:ADU,2020-03-31,,/developer-agreement-transaction/local-authority-eng/ADU/AWDM-0969-17-AffHousing-spent
