amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
30077.38,received,18/01796/FUL_CIL_59,CIL00017-LP00032_59,,2020-04-06,local-authority-eng:CHT,2019-06-28,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00017-LP00032-59
5639.51,received,18/01796/FUL_59A,CIL00017-LP00032_59A,,2020-04-06,local-authority-eng:CHT,2019-06-28,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00017-LP00032-59A
1879.84,transferred,18/01796/FUL_CIL_61,CIL00017-LP00032_61,,2020-04-06,local-authority-eng:CHT,2019-06-28,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00017-LP00032-61
2.56E+3,received,19/00189/CONDIT_CIL_59,CIL00057-LP00223_59,,2020-04-06,local-authority-eng:CHT,2019-11-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00057-LP00223-59
4.8E+2,received,19/00189/CONDIT_CIL_59A,CIL00057-LP00223_59A,,2020-04-06,local-authority-eng:CHT,2019-11-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00057-LP00223-59A
1.6E+2,transferred,19/00189/CONDIT_CIL_61,CIL00057-LP00223_61,,2020-04-06,local-authority-eng:CHT,2019-11-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00057-LP00223-61
17510.4,received,19/01340/FUL_CIL_59,CIL00094-LP00185_59,,2020-04-06,local-authority-eng:CHT,2019-12-23,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00094-LP00185-59
3283.2,received,19/01340/FUL_CIL_59A,CIL00094-LP00185_59A,,2020-04-06,local-authority-eng:CHT,2019-12-23,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00094-LP00185-59A
1094.4,transferred,19/01340/FUL_CIL_61,CIL00094-LP00185_61,,2020-04-06,local-authority-eng:CHT,2019-12-23,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00094-LP00185-61
9038.4,received,19/01585/FUL_CIL_59,CIL00107-LP00327_59,,2020-04-06,local-authority-eng:CHT,2020-03-17,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00107-LP00327-59
1694.7,received,19/01585/FUL_CIL_59A,CIL00107-LP00327_59A,,2020-04-06,local-authority-eng:CHT,2020-03-17,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00107-LP00327-59A
564.9,transferred,19/01585/FUL_CIL_61,CIL00107-LP00327_61,,2020-04-06,local-authority-eng:CHT,2020-03-17,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00107-LP00327-61
10892.8,secured,19/00077/FUL_CIL_59,CIL00009-LP00017_59,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00009-LP00017-59
2042.4,secured,19/00077/FUL_CIL_59A,CIL00009-LP00017_59A,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00009-LP00017-59A
680.8,secured,19/00077/FUL_CIL_61,CIL00009-LP00017_61,,2020-04-06,local-authority-eng:CHT,2019-06-24,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00009-LP00017-61
2654.53,secured,18/02604/FUL_CIL_59,CIL00055-LP00105_59,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00055-LP00105-59
497.72,secured,18/02604/FUL_CIL_59A,CIL00055-LP00105_59A,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00055-LP00105-59A
165.91,secured,18/02604/FUL_CIL_61,CIL00055-LP00105_61,,2020-04-06,local-authority-eng:CHT,2019-08-05,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00055-LP00105-61
7364.48,secured,18/02555/FUL_CIL_59,CIL00018-LP00033_59,,2020-04-06,local-authority-eng:CHT,2019-08-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00018-LP00033-59
1380.84,secured,18/02555/FUL_CIL_59A,CIL00018-LP00033_59A,,2020-04-06,local-authority-eng:CHT,2019-08-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00018-LP00033-59A
460.28,secured,18/02555/FUL_CIL_61,CIL00018-LP00033_61,,2020-04-06,local-authority-eng:CHT,2019-08-06,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00018-LP00033-61
28968,secured,19/00492/CONDIT_CIL_59,CIL00045-LP00086_59,,2020-04-06,local-authority-eng:CHT,2019-08-15,,/developer-agreement-transaction/local-authority-eng/CHT/CIL00045-LP00086-59
