amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
-1386.2,spent,LA/2009/1049/UU/6-o,LA/2009/1049/UU/6-o/6,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2009-1049-UU-6-o-6
-1.408E+4,transferred,LA/2010/0218/106/OP-8.6,LA/2010/0218/106/OP-8.6/7,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0218-106-OP-8-6-7
-2576.47,spent,LA/2011/0737/106/S1-2,LA/2011/0737/106/S1-2/2,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2011-0737-106-S1-2-2
-4590.16,spent,LA/2011/0740/106/S1-2,LA/2011/0740/106/S1-2/2,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2011-0740-106-S1-2-2
-5135.92,spent,LA/2010/0332/106/S1-10,LA/2010/0332/106/S1-10/28,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0332-106-S1-10-28
-5268.4,spent,LA/2010/0332/106/S1-10,LA/2010/0332/106/S1-10/29,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0332-106-S1-10-29
-47554.85,transferred,LA/2010/0332/106/S1-12.1,LA/2010/0332/106/S1-12.1/32,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0332-106-S1-12-1-32
-48899.92,transferred,LA/2010/0332/106/S1-12.1,LA/2010/0332/106/S1-12.1/33,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0332-106-S1-12-1-33
-2835.62,transferred,LA/2010/0332/106/S1-14,LA/2010/0332/106/S1-14/39,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0332-106-S1-14-39
13701.78,received,LA/2010/0995/106/S3-3.2,LA/2010/0995/106/S3-3.2/27,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-2-27
-25515.41,spent,LA/2010/0995/106/S3-3.2,LA/2010/0995/106/S3-3.2/27,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-2-27
11813.63,received,LA/2010/0995/106/S3-3.2,LA/2010/0995/106/S3-3.2/27,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-2-27
18836.61,received,LA/2010/0995/106/S3-3.3,LA/2010/0995/106/S3-3.3/30,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-3-30
-35077.48,spent,LA/2010/0995/106/S3-3.3,LA/2010/0995/106/S3-3.3/30,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-3-30
16240.87,received,LA/2010/0995/106/S3-3.3,LA/2010/0995/106/S3-3.3/30,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-3-3-30
-111612.57,spent,LA/2010/0995/106/S3-6.1,LA/2010/0995/106/S3-6.1/33,,2021-02-15,local-authority-eng:SNR,,,/developer-agreement-transaction/local-authority-eng/SNR/LA-2010-0995-106-S3-6-1-33
