amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
2185,received,01/06/0285AP1,01/06/0285AP1-t1,,2020-11-23,local-authority-eng:CMA,2007-05-31,,/developer-agreement-transaction/local-authority-eng/CMA/01-06-0285AP1-t1
2.01E+5,received,01/10/1026AP3,01/10/1026AP3-t1,,2020-11-23,local-authority-eng:CMA,2014-07-02,,/developer-agreement-transaction/local-authority-eng/CMA/01-10-1026AP3-t1
13625,received,01/10/1116AP1,01/10/1116AP1-t1,,2020-11-23,local-authority-eng:CMA,2018-06-21,,/developer-agreement-transaction/local-authority-eng/CMA/01-10-1116AP1-t1
13625,allocated,01/10/1116AP1,01/10/1116AP1-t2,,2020-11-23,local-authority-eng:CMA,2018-06-21,,/developer-agreement-transaction/local-authority-eng/CMA/01-10-1116AP1-t2
62617.44,received,01/12/0610AP2,01/12/0610AP2-t1,,2020-11-23,local-authority-eng:CMA,2015-12-11,,/developer-agreement-transaction/local-authority-eng/CMA/01-12-0610AP2-t1
143891,received,01/12/0710AP1,01/12/0710AP1-t1,,2020-11-23,local-authority-eng:CMA,2014-12-16,,/developer-agreement-transaction/local-authority-eng/CMA/01-12-0710AP1-t1
342502,received,01/12/0878AP1,01/12/0878AP1-t1,,2020-11-23,local-authority-eng:CMA,2015-03-10,,/developer-agreement-transaction/local-authority-eng/CMA/01-12-0878AP1-t1
7.92E+3,allocated,01/13/0983AP1,01/13/0983AP1-t1,,2020-11-23,local-authority-eng:CMA,2018-09-17,,/developer-agreement-transaction/local-authority-eng/CMA/01-13-0983AP1-t1
2.91E+4,received,01/14/0761AP1,01/14/0761AP1-t1,,2020-11-23,local-authority-eng:CMA,2018-04-26,,/developer-agreement-transaction/local-authority-eng/CMA/01-14-0761AP1-t1
729307.95,received,01/14/0761AP3,01/14/0761AP3-t1,,2020-11-23,local-authority-eng:CMA,2019-02-22,,/developer-agreement-transaction/local-authority-eng/CMA/01-14-0761AP3-t1
