amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
24759.16,allocated,70243/05-dc2,70243/05-dt2,,2020-03-31,2020-03-31,,
29002,allocated,78000/07-dc1,78000/07-dt1,,2020-03-31,2020-03-31,,
15365.79,allocated,75033/06-dc1,75033/06-dt1,,2020-03-31,2020-03-31,,
4599.15,allocated,78000/07-dc2,78000/07-dt1,,2020-03-31,2020-03-31,,
9586.99,allocated,47118/95-dc1,47118/95-dt1,,2020-03-31,2020-03-31,,
48505,allocated,31080/88-dc1,31080/88-dt1,,2020-03-31,2020-03-31,,
5628.8,allocated,36153/90-dc1,36153/90-dt1,,2020-03-31,2020-03-31,,
1943.8,allocated,43439/93-dc1,43439/93-dt1,,2020-03-31,2020-03-31,,
23102.34,allocated,37390/90-dc1,37390/90-dt1,,2020-03-31,2020-03-31,,
1682,allocated,47641/95-dc1,47641/95-dt1,,2020-03-31,2020-03-31,,
-1.8E+2,allocated,47874/95-dc1,47874/95-dt1,,2020-03-31,2020-03-31,,
1480.42,allocated,49236/96-dc1,49236/96-dt1,,2020-03-31,2020-03-31,,
893.15,allocated,48883/96-dc1,48883/96-dt1,,2020-03-31,2020-03-31,,
11874.79,allocated,49236/96-dc2,49236/96-dt2,,2020-03-31,2020-03-31,,
28438,allocated,55870/99-dc1,55870/99-dt1,,2020-03-31,2020-03-31,,
2423.26,allocated,59154/01-dc1,59154/01-dt1,,2020-03-31,2020-03-31,,
3711.5,allocated,48793/96-dc1,48793/96-dt1,,2020-03-31,2020-03-31,,
2020.8,allocated,48793/96-dc2,48793/96-dt2,,2020-03-31,2020-03-31,,
1.8E+4,allocated,50028/97-dc1,50028/97-dt1,,2020-03-31,2020-03-31,,
5652.75,allocated,45255/94-dc1,45255/94-dt1,,2020-03-31,2020-03-31,,
1931.98,allocated,59315/01-dc1,59315/01-dt1,,2020-03-31,2020-03-31,,
6717.44,allocated,48401/96-dc1,48401/96-dt1,,2020-03-31,2020-03-31,,
6E+2,allocated,54285/99-dc1,54285/99-dt1,,2020-03-31,2020-03-31,,
7367.72,allocated,63515/02-dc1,63515/02-dt1,,2020-03-31,2020-03-31,,
8289.13,allocated,63993/03-dc1,63993/03-dt1,,2020-03-31,2020-03-31,,
14493.78,allocated,49577/96-dc1,49577/96-dt1,,2020-03-31,2020-03-31,,
15464.38,allocated,36912/92-dc1,36912/92-dt1,,2020-03-31,2020-03-31,,
25275,allocated,64023/03-dc1,64023/03-dt1,,2020-03-31,2020-03-31,,
1.05E+3,allocated,75492/06-dc1,75492/06-dt1,,2020-03-31,2020-03-31,,
827.24,allocated,67373/04-dc1,67373/04-dt1,,2020-03-31,2020-03-31,,
885.21,allocated,68726/04-dc1,68726/04-dt1,,2020-03-31,2020-03-31,,
1.435E+4,allocated,77241/07-dc1,77241/07-dt1,,2020-03-31,2020-03-31,,
14834.71,allocated,70243/05-dc3,70243/05-dt3,,2020-03-31,2020-03-31,,
23571.01,allocated,49577/96-dc2,49577/96-dt2,,2020-03-31,2020-03-31,,
46552.85,allocated,65785/03-dc1,65785/03-dt1,,2020-03-31,2020-03-31,,
841.65,allocated,79867/08-dc1,79867/08-dt1,,2020-03-31,2020-03-31,,
60255.8,allocated,67335/04-dc1,67335/04-dt1,,2020-03-31,2020-03-31,,
14977.1,allocated,75848/06-dc1,75848/06-dt1,,2020-03-31,2020-03-31,,
1028.47,allocated,79414/08-dc1,79414/08-dt1,,2020-03-31,2020-03-31,,
74418.51,allocated,76656/07-dc1,76656/07-dt1,,2020-03-31,2020-03-31,,
6914.21,allocated,84637/10-dc1,84637/10-dt1,,2020-03-31,2020-03-31,,
6914.21,allocated,84637/10-dc2,84637/10-dt2,,2020-03-31,2020-03-31,,
2.5E+3,allocated,78526/07-dc1,78526/07-dt1,,2020-03-31,2020-03-31,,
32447.47,allocated,75033/06-dc2,75033/06-dt1,,2020-03-31,2020-03-31,,
5E+3,allocated,95486/15-dc1,95486/15-dt1,,2020-03-31,2020-03-31,,
24745,allocated,93831/15-dc1,93831/15-dt1,,2020-03-31,2020-03-31,,
1.93E+4,allocated,97826/16-dc1,97826/16-dt1,,2020-03-31,2020-03-31,,
9.4E+3,allocated,95151/15-dc1,95151/15-dt1,,2020-03-31,2020-03-31,,
4.95E+3,allocated,00940/17-dc1,00940/17-dt1,,2020-03-31,2020-03-31,,
4.95E+3,allocated,96178/16-dc1,96178/16-dt1,,2020-03-31,2020-03-31,,
38995.82,allocated,97199/16-dc1,97199/16-dt1,,2020-03-31,2020-03-31,,
4.85E+3,allocated,02435/17-dc1,02435/17-dt1,,2020-03-31,2020-03-31,,
13579.93,allocated,97377/16-dc1,97377/16-dt1,,2020-03-31,2020-03-31,,
9560.06,allocated,04044/18-dc2,04044/18-dt2,,2020-03-31,2020-03-31,,
85516.33,allocated,01595/17-dc1,01595/17-dt1,,2020-03-31,2020-03-31,,
5E+3,allocated,04748/18-dc1,04748/18-dt1,,2020-03-31,2020-03-31,,
14588.16,allocated,93610/15-dc1,93610/15-dt1,,2020-03-31,2020-03-31,,
23045.55,allocated,78010/07-dc1,78010/07-dt1,,2020-03-31,2020-03-31,,
3034.84,allocated,94158/15-dc2,94158/15-dt1,,2020-03-31,2020-03-31,,
3.415E+4,allocated,55705/99-dc1,55705/99-dt1,,2020-03-31,2020-03-31,,
2.47E+3,allocated,62817/02-dc1,62817/02-dt1,,2020-03-31,2020-03-31,,
9.4E+3,allocated,57008/00-dc1,57008/00-dt1,,2020-03-31,2020-03-31,,
6.187E+4,allocated,70243/05-dc1,70243/05-dt1,,2020-03-31,2020-03-31,,
1.5E+3,allocated,69393/04-dc1,69393/04-dt1,,2020-03-31,2020-03-31,,
4.9E+4,allocated,66201/03-dc1,66201/03-dt1,,2020-03-31,2020-03-31,,
41333.97,allocated,70143/05-dc1,70143/05-dt1,,2020-03-31,2020-03-31,,
20606.84,allocated,74472/06-dc1,74472/06-dt1,,2020-03-31,2020-03-31,,
2.92E+4,allocated,69252/04-dc1,69252/04-dt1,,2020-03-31,2020-03-31,,
9994,allocated,70897/05-dc1,70897/05-dt1,,2020-03-31,2020-03-31,,
3E+3,allocated,69193/04-dc1,69193/04-dt1,,2020-03-31,2020-03-31,,
22138.6,allocated,76893/07-dc1,76893/07-dt1,,2020-03-31,2020-03-31,,
46281.25,allocated,77289/97-dc1,77289/97-dt1,,2020-03-31,2020-03-31,,
2.47E+3,allocated,79100/07-dc1,79100/07-dt1,,2020-03-31,2020-03-31,,
42675,allocated,72898/05-dc1,72898/05-dt1,,2020-03-31,2020-03-31,,
24946,allocated,76656/07-dc2,76656/07-dt2,,2020-03-31,2020-03-31,,
53045.26,allocated,92078/14-dc1,92078/14-dt1,,2020-03-31,2020-03-31,,
21913.6,allocated,91959/14-dc1,91959/14-dt1,,2020-03-31,2020-03-31,,
2286.9,allocated,91081/13-dc1,91081/13-dt1,,2020-03-31,2020-03-31,,
6.93E+3,allocated,91081/13-dc2,91081/13-dt1,,2020-03-31,2020-03-31,,
2.425E+4,allocated,86445/11-dc1,86445/11-dt1,,2020-03-31,2020-03-31,,
24638.44,allocated,96670/16-dc1,96670/16-dt1,,2020-03-31,2020-03-31,,
4303.03,allocated,97377/16-dc2,97377/16-dt2,,2020-03-31,2020-03-31,,
4480.27,allocated,04044/18-dc1,04044/18-dt1,,2020-03-31,2020-03-31,,
25273.36,allocated,03484/18-dc1,03484/18-dt1,,2020-03-31,2020-03-31,,
63654.18,allocated,91081/13-dc3,91081/13-dt1,,2020-03-31,2020-03-31,,
17936.47,allocated,78010/07-dc2,78010/07-dt2,,2020-03-31,2020-03-31,,
18051.37,allocated,88121/12-dc1,88121/12-dt1,,2020-03-31,2020-03-31,,
20532.09,allocated,75230/06-dc1,75230/06-dt1,,2020-03-31,2020-03-31,,
19304.01,allocated,87062/11-dc1,87062/11-dt1,,2020-03-31,2020-03-31,,
23266.93,allocated,93070/14-dc1,93070/14-dt1,,2020-03-31,2020-03-31,,
117382.27,allocated,84637/10-dc3,84637/10-dt3,,2020-03-31,2020-03-31,,
349960.86,allocated,74472/06-dc2,74472/06-dt2,,2020-03-31,2020-03-31,,
24823.75,allocated,02335/17-dc1,02335/17-dt1,,2020-03-31,2020-03-31,,
40997.92,allocated,94158/15-dc1,94158/15-dt1,,2020-03-31,2020-03-31,,
131676.91,allocated,96218/16-dc1,96218/16-dt1,,2020-03-31,2020-03-31,,
812.88,allocated,67274/04-dc1,67274/04-dt1,,2020-03-31,2020-03-31,,
314050.58,allocated,72253/05-dc1,72253/05-dt1,,2020-03-31,2020-03-31,,
361381.1,allocated,90539/13-dc1,90539/13-dt1,,2020-03-31,2020-03-31,,
125102.9,allocated,97377/16-dc3,97377/16-dt3,,2020-03-31,2020-03-31,,
215549.48,allocated,94656/15-dc1,94656/15-dt1,,2020-03-31,2020-03-31,,
14830.24,allocated,96218/16-dc2,96218/16-dt2,,2020-03-31,2020-03-31,,
35489.21,allocated,93610/15-dc2,93610/15-dt2,,2020-03-31,2020-03-31,,
161874.36,allocated,96907/16-dc1,96907/16-dt1,,2020-03-31,2020-03-31,,
12397.1,allocated,02456/17-dc1,02456/17-dt1,,2020-03-31,2020-03-31,,
16041.32,allocated,91081/13-dc4,91081/13-dt1,,2020-03-31,2020-03-31,,
241.43,allocated,94158/15-dc3,94158/15-dt1,,2020-03-31,2020-03-31,,
8294.3,spent,47118/95-dc1,47118/95-dt1,,2020-03-31,2020-03-31,,
811.13,spent,36153/90-dc1,36153/90-dt1,,2020-03-31,2020-03-31,,
971.89,spent,43439/93-dc1,43439/93-dt1,,2020-03-31,2020-03-31,,
3205,spent,47874/95-dc1,47874/95-dt1,,2020-03-31,2020-03-31,,
740.19,spent,49236/96-dc1,49236/96-dt3,,2020-03-31,2020-03-31,,
446.6,spent,48883/96-dc1,48883/96-dt1,,2020-03-31,2020-03-31,,
9.3E+2,spent,49236/96-dc2,49236/96-dt4,,2020-03-31,2020-03-31,,
14326.74,spent,59154/01-dc1,59154/01-dt1,,2020-03-31,2020-03-31,,
1855.75,spent,48793/96-dc1,48793/96-dt3,,2020-03-31,2020-03-31,,
1010.4,spent,48793/96-dc2,48793/96-dt4,,2020-03-31,2020-03-31,,
281.25,spent,45255/94-dc1,45255/94-dt1,,2020-03-31,2020-03-31,,
965.99,spent,59315/01-dc1,59315/01-dt1,,2020-03-31,2020-03-31,,
3358.74,spent,48401/96-dc1,48401/96-dt1,,2020-03-31,2020-03-31,,
3E+2,spent,54285/99-dc1,54285/99-dt1,,2020-03-31,2020-03-31,,
2609.45,spent,49577/96-dc1,49577/96-dt3,,2020-03-31,2020-03-31,,
1918.83,spent,63959/03-dc1,63959/03-dt1,,2020-03-31,2020-03-31,,
14875.11,spent,36912/92-dc1,36912/92-dt1,,2020-03-31,2020-03-31,,
7685.32,spent,37395/90-dc1,37395/90-dt1,,2020-03-31,2020-03-31,,
1575,spent,75492/06-dc1,75492/06-dt1,,2020-03-31,2020-03-31,,
823.63,spent,67373/04-dc1,67373/04-dt1,,2020-03-31,2020-03-31,,
1087.67,spent,49577/96-dc2,49577/96-dt4,,2020-03-31,2020-03-31,,
10467.93,spent,65785/03-dc1,65785/03-dt1,,2020-03-31,2020-03-31,,
4766.13,spent,67335/04-dc1,67335/04-dt2,,2020-03-31,2020-03-31,,
16874.79,spent,96218/16-dc3,96218/16-dt3,,2020-03-31,2020-03-31,,
4E+2,spent,01595/17-dc1,01595/17-dt1,,2020-03-31,2020-03-31,,
147.36,spent,93610/15-dc1,93610/15-dt3,,2020-03-31,2020-03-31,,
232.78,spent,78010/07-dc1,78010/07-dt3,,2020-03-31,2020-03-31,,
30.66,spent,94158/15-dc2,94158/15-dt1,,2020-03-31,2020-03-31,,
4031,spent,03484/18-dc1,03484/18-dt1,,2020-03-31,2020-03-31,,
811.33,spent,91081/13-dc3,91081/13-dt1,,2020-03-31,2020-03-31,,
686.23,spent,78010/07-dc2,78010/07-dt4,,2020-03-31,2020-03-31,,
5E+2,spent,88121/12-dc1,88121/12-dt1,,2020-03-31,2020-03-31,,
712.45,spent,75230/06-dc1,75230/06-dt1,,2020-03-31,2020-03-31,,
202106.05,spent,90539/13-dc1,90539/13-dt1,,2020-03-31,2020-03-31,,
76280.79,spent,91081/13-dc5,91081/13-dt1,,2020-03-31,2020-03-31,,
96527.75,spent,94656/15-dc1,94656/15-dt1,,2020-03-31,2020-03-31,,
863.53,spent,93610/15-dc2,93610/15-dt4,,2020-03-31,2020-03-31,,
1349.72,spent,94158/15-dc4,94158/15-dt1,,2020-03-31,2020-03-31,,
2140.15,spent,96907/16-dc1,96907/16-dt1,,2020-03-31,2020-03-31,,
330.38,spent,91081/13-dc4,91081/13-dt1,,2020-03-31,2020-03-31,,
2.44,spent,94158/15-dc3,94158/15-dt1,,2020-03-31,2020-03-31,,
