amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
6644,allocated,11/03181/OUT-S4.9,11/03181/OUT-S4.6-INT-TRANS3,,2020-12-01,2017-04-06,,
6.9E+2,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS1,,2020-11-10,2019-06-30,,
2729.21,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS2,,2020-11-10,2019-09-30,,
12179.86,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS3,,2020-11-10,2019-12-31,,
41463.13,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS4,,2020-11-10,2020-03-31,,
57067.2,spent,11/03181/DOV-S3.2,11/03181/DOV-S3.2-TRANS1,,2020-11-10,2020-03-31,,
26728.81,spent,11/03181/DOV-S3.3,11/03181/DOV-S3.3-TRANS1,,2020-11-10,2020-03-31,,
121728.14,secured,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS1,,2020-12-01,2013-07-01,,
121728.1,received,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS2,,2020-12-01,2013-07-01,,
121728.1,allocated,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS3,,2020-12-01,2013-07-01,,
121728.1,spent,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS4,,2020-12-01,2020-03-31,,
149922.87,secured,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS1,,2020-12-01,2017-04-21,,
149922.9,received,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS2,,2020-12-01,2017-04-21,,
149922.9,allocated,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS3,,2020-12-01,2017-04-21,,
149922.9,spent,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS4,,2020-12-01,2020-03-31,,
32769.81,secured,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS1,,2020-12-01,2017-06-27,,
32769.81,received,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS2,,2020-12-01,2017-06-27,,
32769.81,allocated,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS3,,2020-12-01,2017-06-27,,
32769.81,spent,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS4,,2020-12-01,2020-03-31,,
,secured,10/01549/OUT-S2.,10/01549/OUT-S2.,2011-06-06,2020-12-01,2011-01-27,10,
,secured,11/00982/REM-S1.2c,11/00982/REM-S1.2c,,2020-12-01,2011-06-06,8,
7E+3,secured,10/02420/FUL-C4,10/02420/FUL-C4-TRANS1,,2020-12-01,2011-07-01,,
7E+3,received,10/02420/FUL-C5,10/02420/FUL-C4-TRANS2,,2020-12-01,2011-07-01,,
7E+3,allocated,10/02420/FUL-C6,10/02420/FUL-C4-TRANS3,,2020-12-01,2011-07-01,,
7E+3,spent,10/02420/FUL-C7,10/02420/FUL-C4-TRANS4,,2020-12-01,2019-06-30,,
8818,secured,10/03941/OUT-S2.1,10/03941/OUT-S2.1-TRANS1,,2020-12-01,2015-11-02,,
8818,received,10/03941/OUT-S2.2,10/03941/OUT-S2.1-TRANS2,,2020-12-01,2015-12-11,,
8818,allocated,10/03941/OUT-S2.3,10/03941/OUT-S2.1-TRANS3,,2020-12-01,2015-12-11,,
38093,secured,10/03941/OUT-S2.3.1,10/03941/OUT-S2.3.1-TRANS1,,2020-12-01,2017-02-20,,
38093,received,10/03941/OUT-S2.3.1,10/03941/OUT-S2.3.1-TRANS2,,2020-12-01,2017-06-02,,
38093,allocated,10/03941/OUT-S2.3.1,10/03941/OUT-S2.3.1-TRANS3,,2020-12-01,2017-06-02,,
38093,spent,10/03941/OUT-S2.3.1,10/03941/OUT-S2.3.1-TRANS4,,2020-12-01,2019-03-31,,
38092,secured,10/03941/OUT-S2.3.2,10/03941/OUT-S2.3.2-TRANS1,,2020-12-01,2017-12-18,,
38092,received,10/03941/OUT-S2.3.2,10/03941/OUT-S2.3.2-TRANS2,,2020-12-01,2018-04-04,,
38092,allocated,10/03941/OUT-S2.3.2,10/03941/OUT-S2.3.2-TRANS3,,2020-12-01,2018-04-04,,
38092,spent,10/03941/OUT-S2.3.2,10/03941/OUT-S2.3.2-TRANS4,,2020-12-01,2019-03-31,,
28735,secured,10/03941/OUT-S2.4,10/03941/OUT-S2.4-TRANS1,,2020-12-01,2017-02-20,,
28735,received,10/03941/OUT-S2.4,10/03941/OUT-S2.4-TRANS2,,2020-12-01,2017-06-02,,
28735,allocated,10/03941/OUT-S2.4,10/03941/OUT-S2.4-TRANS3,,2020-12-01,2017-06-02,,
,secured,10/03941/OUT-S3,10/03941/OUT-S3,,2020-12-01,2018-12-21,15,
8.515E+4,secured,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS1,,2020-12-02,2015-11-01,,
8.515E+4,received,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS2,,2020-12-02,2015-12-11,,
8.515E+4,allocated,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS3,,2020-12-02,2015-12-11,,
17499.44,spent,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS4,,2020-12-02,2017-03-31,,
42976.93,spent,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS5,,2020-12-02,2018-03-31,,
24673.63,spent,14/00899/REM-S1.2.1,14/00899/REM-S1.2.1-TRANS6,,2020-12-02,2019-03-31,,
