amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
,,,,,2021-02-15,local-authority-eng:HRT,,,
