amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
2.79E+4,secured,AWDM/1409/17-TotalCIL,AWDM/1409/17-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-02-07,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1409-17-TotalCIL-secd
7E+4,received,AWDM/1075/17-AffHousing,AWDM/1075/17-AffHousing-recd,,2020-01-29,local-authority-eng:WOT,2019-04-02,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1075-17-AffHousing-recd
2.5E+4,received,AWDM/1542/16-AffHousing,AWDM/1542/16-AffHousing-recd,,2020-01-29,local-authority-eng:WOT,2019-04-09,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1542-16-AffHousing-recd
30934.96,received,WB/09/0732/FULL-RecSpace,WB/09/0732/FULL-RecSpace-recd,,2020-01-29,local-authority-eng:WOT,2019-06-10,,/developer-agreement-transaction/local-authority-eng/WOT/WB-09-0732-FULL-RecSpace-recd
2.79E+4,received,AWDM/1409/17-TotalCIL,AWDM/1409/17-TotalCIL-recd,,2020-01-29,local-authority-eng:WOT,2019-06-14,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1409-17-TotalCIL-recd
1.13E+4,secured,AWDM/1176/17-TotalCIL,AWDM/1176/17-TotalCIL-secd,2019-09-04,2020-01-29,local-authority-eng:WOT,2019-07-18,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1176-17-TotalCIL-secd
11456.99,secured,AWDM/0418/16-TotalCIL,AWDM/0418/16-TotalCIL-secd,2019-09-10,2020-01-29,local-authority-eng:WOT,2019-08-13,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0418-16-TotalCIL-secd
25839.99,secured,AWDM/0038/18-TotalCIL,AWDM/0038/18-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-08-13,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0038-18-TotalCIL-secd
17081.63,secured,AWDM/0556/18-TotalCIL,AWDM/0556/18-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-08-28,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0556-18-TotalCIL-secd
12346.38,secured,AWDM/1176/17-TotalCIL2,AWDM/1176/17-TotalCIL2-secd,,2020-10-27,local-authority-eng:WOT,2019-09-04,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1176-17-TotalCIL2-secd
1.095E+4,secured,AWDM/0418/16-TotalCIL2,AWDM/0418/16-TotalCIL2-secd,,2020-10-27,local-authority-eng:WOT,2019-09-10,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0418-16-TotalCIL2-secd
17081.63,received,AWDM/0556/18-TotalCIL,AWDM/0556/18-TotalCIL-recd,,2020-01-29,local-authority-eng:WOT,2019-09-11,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0556-18-TotalCIL-recd
14941.16,secured,AWDM/0827/15-TotalCIL,AWDM/0827/15-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-09-11,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0827-15-TotalCIL-secd
7736,secured,AWDM/1107/15-TotalCIL,AWDM/1107/15-TotalCIL-secd,2019-11-07,2020-01-29,local-authority-eng:WOT,2019-09-16,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1107-15-TotalCIL-secd
8757.53,secured,AWDM/0456/16-TotalCIL,AWDM/0456/16-TotalCIL-secd,,2020-01-29,local-authority-eng:WOT,2019-09-20,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0456-16-TotalCIL-secd
1.088E+4,secured,AWDM/1174/16-TotalCIL,AWDM/1174/16-TotalCIL-secd,2019-10-09,2020-01-29,local-authority-eng:WOT,2019-09-20,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1174-16-TotalCIL-secd
7489.77,secured,AWDM/1909/16-TotalCIL,AWDM/1909/16-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-09-20,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1909-16-TotalCIL-secd
5.5E+3,secured,AWDM/0870/17-TotalCIL,AWDM/0870/17-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-09-20,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0870-17-TotalCIL-secd
56307.5,secured,AWDM/1042/18-TotalCIL,AWDM/1042/18-TotalCIL-secd,,2020-01-29,local-authority-eng:WOT,2019-09-26,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1042-18-TotalCIL-secd
9046.73,secured,AWDM/1520/17-TotalCIL,AWDM/1520/17-TotalCIL-secd,,2020-10-27,local-authority-eng:WOT,2019-09-26,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1520-17-TotalCIL-secd
7489.78,received,AWDM/1909/16-TotalCIL,AWDM/1909/16-TotalCIL-recd,,2020-01-29,local-authority-eng:WOT,2019-10-07,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1909-16-TotalCIL-recd
7146.23,secured,AWDM/0307/16-TotalCIL,AWDM/0307/16-TotalCIL-secd,,2020-01-29,local-authority-eng:WOT,2019-10-07,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0307-16-TotalCIL-secd
1.095E+4,received,AWDM/0418/16-TotalCIL2,AWDM/0418/16-TotalCIL2-recd,,2020-01-29,local-authority-eng:WOT,2019-10-08,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0418-16-TotalCIL2-recd
13635,secured,AWDM/0676/18-TotalCIL,AWDM/0676/18-TotalCIL-secd,,2020-01-29,local-authority-eng:WOT,2019-10-08,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0676-18-TotalCIL-secd
14941.16,received,AWDM/0827/15-TotalCIL,AWDM/0827/15-TotalCIL-recd,,2020-01-29,local-authority-eng:WOT,2019-10-09,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0827-15-TotalCIL-recd
1.088E+4,secured,AWDM/1174/16-TotalCIL2,AWDM/1174/16-TotalCIL2-secd,,2020-10-27,local-authority-eng:WOT,2019-10-09,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1174-16-TotalCIL2-secd
25755,secured,AWDM/0025/18-TotalCIL,AWDM/0025/18-TotalCIL-secd,2020-03-30,2020-01-29,local-authority-eng:WOT,2019-10-14,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0025-18-TotalCIL-secd
25839.99,received,AWDM/0038/18-TotalCIL,AWDM/0038/18-TotalCIL-recd,,2020-01-29,local-authority-eng:WOT,2019-10-18,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-0038-18-TotalCIL-recd
12346.38,received,AWDM/1176/17-TotalCIL2,AWDM/1176/17-TotalCIL2-recd,,2020-01-29,local-authority-eng:WOT,2019-10-29,,/developer-agreement-transaction/local-authority-eng/WOT/AWDM-1176-17-TotalCIL2-recd
