amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
22367,allocated,09/93881-con1,09/93881-tran1,,2020-12-18,2009-06-05,,
5.5E+3,allocated,08/93421-con1,08/93421-tran1,,2020-12-18,2010-10-25,,
47699,spent,07/91625-con1,07/91625-tran1,,2020-12-18,2011-05-31,,
5066.16,allocated,07/91625-con1,07/91625-tran2,,2020-12-18,2011-05-31,,
8610.5,allocated,10/94877-con1,10/94877-tran1,,2020-12-18,2011-03-22,,
85126,allocated,10/95600-con1,10/95600-tran1,,2020-12-18,2011-06-29,,
2.5E+4,allocated,08/92688-con1,08/92688-tran1,,2020-12-18,2011-10-19,,
22357,allocated,08/93051-con1,08/93051-tran1,,2020-12-18,2011-11-30,,
53105,allocated,05/85676-con1,05/85676-tran1,,2020-12-18,2012-06-28,,
1E+4,allocated,11/96826-con1,11/96826-tran1,,2020-12-18,2013-03-22,,
4232.18,transferred,13/98880-con1,13/98880-tran1,,2020-12-18,2013-11-23,,
11827.75,transferred,13/98701-con1,13/98701-tran1,,2020-12-18,2014-04-03,,
5.3E+4,allocated,12/97325-con1,12/97325-tran1,,2020-12-18,2014-05-01,,
3.4E+4,allocated,11/96907-con1,11/96907-tran1,,2020-12-18,2014-11-05,,
1.82E+4,allocated,14/00139-con1,14/00139-tran1,,2020-12-18,2015-02-12,,
1.98E+3,transferred,14/00139-con2,14/00139-tran2,,2020-12-18,2015-02-12,,
3745,transferred,14/00049-con1,14/00049-tran1,,2020-12-18,2015-08-04,,
3505,spent,14/00049-con2,14/00049-tran2,,2020-12-18,2015-08-04,,
9.313E+4,allocated,10/95881-con1,10/95881-tran1,,2020-12-18,2015-09-02,,
7097.8,spent,10/95881-con2,10/95881-tran2,,2020-12-18,2015-09-02,,
4585.2,received,10/95881-con2,10/95881-tran3,,2020-12-18,2015-09-02,,
5.52E+3,transferred,13/98485-con1,13/98485-tran1,,2020-12-18,2015-10-02,,
7.01E+3,received,14/00664-con1,14/00664-tran1,,2020-12-18,2015-11-25,,
3745,transferred,14/00664-con2,14/00664-tran2,,2020-12-18,2015-11-25,,
4.365E+4,allocated,15/00735-con1,15/00735-tran1,,2020-12-18,2016-02-15,,
