amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
709446,secured,dac-2012-0084-01,dat-2012-0084-01-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-01-01
1.125E+6,received,dac-2012-0084-02,dat-2012-0084-02-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-02-01
,secured,dac-2012-0084-03,dat-2012-0084-03-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-03-01
,secured,dac-2012-0084-04,dat-2012-0084-04-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-04-01
1E+2,secured,dac-2012-0084-05,dat-2012-0084-05-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-05-01
25984,received,dac-2012-0084-06,dat-2012-0084-06-01,,2020-11-25,local-authority-eng:AMB,2019-08-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-06-01
,secured,dac-2012-0084-07,dat-2012-0084-07-01,,2020-11-25,local-authority-eng:AMB,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-07-01
1E+2,secured,dac-2012-0965-01,dat-2012-0965-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-01-01
49772.74,received,dac-2012-0965-02,dat-2012-0965-02-01,,2020-11-11,local-authority-eng:AMB,2020-01-21,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-02-01
,secured,dac-2012-0965-03,dat-2012-0965-03-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-03-01
1E+2,secured,dac-2012-1157-01,dat-2012-1157-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-01-01
55077.22,secured,dac-2012-1157-02,dat-2012-1157-02-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-02-01
43520.4,received,dac-2012-1157-03,dat-2012-1157-03-01,,2020-11-11,local-authority-eng:AMB,2020-01-21,99,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-03-01
383031.66,secured,dac-2012-1157-04,dat-2012-1157-04-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-04-01
,secured,dac-2012-1157-05,dat-2012-1157-05-01,,2020-11-11,local-authority-eng:AMB,,7,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-05-01
,secured,dac-2014-0553-01,dat-2014-0553-01-01,,2020-11-11,local-authority-eng:AMB,,7,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-01-01
1.15E+5,secured,dac-2014-0553-02,dat-2014-0553-02-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-02-01
5.5E+4,secured,dac-2014-0553-03,dat-2014-0553-03-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-03-01
3E+4,secured,dac-2014-0553-04,dat-2014-0553-04-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-04-01
1775.8,secured,dac-2014-0678-01,dat-2014-0678-01-01,,2020-11-11,local-authority-eng:AMB,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-01-01
1E+2,received,dac-2014-0678-02,dat-2014-0678-02-01,,2020-11-11,local-authority-eng:AMB,2019-11-15,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-02-01
