amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
2.8836E+5,secured,SL/2017/0841-con1,SL/2017/0841-tran1,,2020-12-14,local-authority-eng:SLA,2019-07-18,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0841-tran1
7.215E+4,secured,SL/2017/0841-con2,SL/2017/0841-tran2,,2020-12-14,local-authority-eng:SLA,2019-07-18,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0841-tran2
3.6E+4,secured,SL/2017/0841-con3,SL/2017/0841-tran3,,2020-12-14,local-authority-eng:SLA,2019-07-18,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0841-tran3
,secured,SL/2017/0841-con4,SL/2017/0841-tran4,,2020-12-17,local-authority-eng:SLA,2019-07-18,37,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0841-tran4
10229.54,secured,SL/2017/0992-con,SL/2017/0992-tran1,,2020-12-14,local-authority-eng:SLA,2019-11-22,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0992-tran1
10229.54,received,SL/2017/0992-con,SL/2017/0992-tran2,,2020-12-14,local-authority-eng:SLA,2019-12-31,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0992-tran2
10229.54,allocated,SL/2017/0992-con,SL/2017/0992-tran3,,2020-12-14,local-authority-eng:SLA,2020-01-01,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0992-tran3
10229.54,spent,SL/2017/0992-con,SL/2017/0992-tran4,,2020-12-14,local-authority-eng:SLA,2020-03-31,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2017-0992-tran4
1.7E+5,secured,SL/2013/1120-con1,SL/2013/1120-tran1,,2020-12-14,local-authority-eng:SLA,2015-01-22,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran1
186303,received,SL/2013/1120-con1,SL/2013/1120-tran2,,2020-12-14,local-authority-eng:SLA,2018-01-25,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran2
4.9E+3,allocated,SL/2013/1120-con1,SL/2013/1120-tran3,,2020-12-14,local-authority-eng:SLA,2018-02-01,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran3
4.9E+3,spent,SL/2013/1120-con1,SL/2013/1120-tran4,,2020-12-14,local-authority-eng:SLA,2020-03-31,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran4
102939.5,secured,SL/2013/1120-con2,SL/2013/1120-tran5,,2020-12-14,local-authority-eng:SLA,2015-01-22,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran5
102939.5,received,SL/2013/1120-con2,SL/2013/1120-tran6,,2020-12-14,local-authority-eng:SLA,2018-01-25,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran6
102939.5,allocated,SL/2013/1120-con2,SL/2013/1120-tran7,,2020-12-14,local-authority-eng:SLA,2018-02-01,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran7
102939.5,spent,SL/2013/1120-con2,SL/2013/1120-tran8,,2020-12-14,local-authority-eng:SLA,2020-03-05,,/developer-agreement-transaction/local-authority-eng/SLA/SL-2013-1120-tran8
