resource,amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,8.95E+4,secured,18/01020/FULM-con,18/01020/FULM-dem,,2020-12-01,2019-11-28,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,11066,secured,18/00123/FUL-con,18/00123/FUL-dem,2019-12-24,2020-12-01,2019-11-29,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,3161.28,secured,15/00429/FUL-con,15/00429/FUL-dem,,2020-12-01,2019-11-29,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,12024,received,17/00959/FUL-con,17/00959/FUL-rec,,2020-12-01,2019-12-03,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,12024,secured,17/00959/FUL-con,17/00959/FUL-dem,,2020-12-01,2019-12-17,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,5.1E+4,secured,19/00490/FUL-con,19/00490/FUL-dem,,2020-12-01,2020-01-03,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,9.18E+3,secured,18/00123/FUL-con,18/00123/FUL-dem,,2020-12-01,2020-01-03,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,14768.81,received,18/02153/FUL-con,18/02153/FUL-rec,,2020-12-01,2020-01-06,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,22375,received,18/01020/FULM-con,18/01020/FULM-rec,,2020-12-01,2020-01-15,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,7439.68,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-01-21,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,5825.01,received,18/01497/FUL-con,18/01497/FUL-rec,,2020-12-01,2020-02-14,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,7.4E+3,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-02-21,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,96913.25,received,14/00161/FULM-con,14/00161/FULM-rec,,2020-12-01,2020-02-28,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,5396.98,secured,18/01241/FUL-con,18/01241/FUL-dem,,2020-12-01,2020-02-28,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,2480.32,received,14/00353/FUL-con,14/00353/FUL-rec,,2020-12-01,2020-03-05,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,166275.2,received,18/01645/RMAM-con,18/01645/RMAM-rec,,2020-12-01,2020-03-11,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,4.9E+4,secured,19/01615/con,19/01615/RMA-dem,,2020-12-01,2020-03-13,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,5.1E+4,received,19/00490/FUL-con,19/00490/FUL-rec,,2020-12-01,2020-03-20,,
02630d89581c914e9b79a34551d5affbe41acdbbbbdeeb7ad409cff5ce29a796,7.4E+3,received,15/00501/FULM-con,15/00501/FULM-rec,,2020-12-01,2020-03-26,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,24759.16,allocated,70243/05-dc2,70243/05-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,29002,allocated,78000/07-dc1,78000/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,15365.79,allocated,75033/06-dc1,75033/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4599.15,allocated,78000/07-dc2,78000/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,9586.99,allocated,47118/95-dc1,47118/95-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,48505,allocated,31080/88-dc1,31080/88-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,5628.8,allocated,36153/90-dc1,36153/90-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1943.8,allocated,43439/93-dc1,43439/93-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,23102.34,allocated,37390/90-dc1,37390/90-dt1,,2020-03-31,2020-03-31,,
