row-number,field,issue-type,value
1,end-date,date,YYYY-MM-DD
1,entry-date,date,YYYY-MM-DD
1,start-date,date,YYYY-MM-DD
1,organisation,default,local-authority-eng:EHE
1,entry-date,default,2021-02-15
2,organisation,default,local-authority-eng:EHE
2,entry-date,default,2021-02-15
3,organisation,default,local-authority-eng:EHE
3,entry-date,default,2021-02-15
4,organisation,default,local-authority-eng:EHE
4,entry-date,default,2021-02-15
5,organisation,default,local-authority-eng:EHE
5,entry-date,default,2021-02-15
6,organisation,default,local-authority-eng:EHE
6,entry-date,default,2021-02-15
7,organisation,default,local-authority-eng:EHE
7,entry-date,default,2021-02-15
8,entry-date,date,2020_09_21
8,organisation,default,local-authority-eng:EHE
8,entry-date,default,2021-02-15
9,entry-date,date,2020_09_21
9,organisation,default,local-authority-eng:EHE
9,entry-date,default,2021-02-15
10,entry-date,date,2020_09_21
10,organisation,default,local-authority-eng:EHE
10,entry-date,default,2021-02-15
11,entry-date,date,2020_09_21
11,organisation,default,local-authority-eng:EHE
11,entry-date,default,2021-02-15
12,entry-date,date,2020_09_21
12,organisation,default,local-authority-eng:EHE
12,entry-date,default,2021-02-15
13,entry-date,date,2020_09_21
13,organisation,default,local-authority-eng:EHE
13,entry-date,default,2021-02-15
14,entry-date,date,2020_09_21
14,organisation,default,local-authority-eng:EHE
14,entry-date,default,2021-02-15
15,entry-date,date,2020_09_21
15,organisation,default,local-authority-eng:EHE
15,entry-date,default,2021-02-15
16,entry-date,date,2020_09_21
16,organisation,default,local-authority-eng:EHE
16,entry-date,default,2021-02-15
17,entry-date,date,2020_09_21
17,organisation,default,local-authority-eng:EHE
17,entry-date,default,2021-02-15
18,entry-date,date,2020_09_21
18,organisation,default,local-authority-eng:EHE
18,entry-date,default,2021-02-15
19,entry-date,date,2020_09_21
19,organisation,default,local-authority-eng:EHE
19,entry-date,default,2021-02-15
20,entry-date,date,2020_09_21
20,organisation,default,local-authority-eng:EHE
20,entry-date,default,2021-02-15
21,entry-date,date,2020_09_21
21,organisation,default,local-authority-eng:EHE
21,entry-date,default,2021-02-15
22,entry-date,date,2020_09_21
22,organisation,default,local-authority-eng:EHE
22,entry-date,default,2021-02-15
23,entry-date,date,2020_09_21
23,organisation,default,local-authority-eng:EHE
23,entry-date,default,2021-02-15
24,entry-date,date,2020_09_21
24,organisation,default,local-authority-eng:EHE
24,entry-date,default,2021-02-15
25,entry-date,date,2020_09_21
25,organisation,default,local-authority-eng:EHE
25,entry-date,default,2021-02-15
26,entry-date,date,2020_09_21
26,organisation,default,local-authority-eng:EHE
26,entry-date,default,2021-02-15
27,entry-date,date,2020_09_21
27,organisation,default,local-authority-eng:EHE
27,entry-date,default,2021-02-15
28,entry-date,date,2020_09_21
28,organisation,default,local-authority-eng:EHE
28,entry-date,default,2021-02-15
29,entry-date,date,2020_09_21
29,organisation,default,local-authority-eng:EHE
29,entry-date,default,2021-02-15
30,entry-date,date,2020_09_21
30,organisation,default,local-authority-eng:EHE
30,entry-date,default,2021-02-15
31,entry-date,date,2020_09_21
31,organisation,default,local-authority-eng:EHE
31,entry-date,default,2021-02-15
32,entry-date,date,2020_09_21
32,organisation,default,local-authority-eng:EHE
32,entry-date,default,2021-02-15
33,entry-date,date,2020_09_21
33,organisation,default,local-authority-eng:EHE
33,entry-date,default,2021-02-15
34,entry-date,date,2020_09_21
34,organisation,default,local-authority-eng:EHE
34,entry-date,default,2021-02-15
35,entry-date,date,2020_09_21
35,organisation,default,local-authority-eng:EHE
35,entry-date,default,2021-02-15
36,entry-date,date,2020_09_21
36,organisation,default,local-authority-eng:EHE
36,entry-date,default,2021-02-15
