row-number,field,issue-type,value
1,amount,decimal,£500.00
2,amount,decimal,£21910.00
3,amount,decimal,£7500.00
4,amount,decimal,£30000.00
5,amount,decimal,£6000.00
6,amount,decimal,£3000.00
7,amount,decimal,£3938.00
9,amount,decimal,£7055.00
10,amount,decimal,£5000.00
11,amount,decimal,£2700.00
12,amount,decimal,£9160.00
13,amount,decimal,£3900.00
14,amount,decimal,£5000.00
16,amount,decimal,£5583.00
17,amount,decimal,£5636.00
18,amount,decimal,£5808.00
19,amount,decimal,£10000.00
20,amount,decimal,£6776.00
21,amount,decimal,£5000.00
22,amount,decimal,£5000.00
23,amount,decimal,£19886.00
24,amount,decimal,£125000.00
25,amount,decimal,£20000.00
26,amount,decimal,£85000.00
27,amount,decimal,£1940.00
28,amount,decimal,£5000.00
29,amount,decimal,£5000.00
30,amount,decimal,£1365.00
31,amount,decimal,£6776.00
32,amount,decimal,£5038.00
33,amount,decimal,£7469.00
34,amount,decimal,£600.00
35,amount,decimal,£600.00
36,amount,decimal,£5000.00
37,amount,decimal,£5000.00
38,amount,decimal,£49296.00
39,amount,decimal,£283133.00
40,amount,decimal,-£285600.00
41,amount,decimal,£285600.00
42,amount,decimal,£285600.00
43,amount,decimal,£1020000.00
44,amount,decimal,-£1020000.00
45,amount,decimal,£1020000.00
46,amount,decimal,£10000.00
47,amount,decimal,£10000.00
48,amount,decimal,£6776.00
49,amount,decimal,£2306.00
50,amount,decimal,£4353.00
51,amount,decimal,£24700.00
52,amount,decimal,£6412.00
53,amount,decimal,£21863.00
54,amount,decimal,£19291.45
55,amount,decimal,£42890.45
56,amount,decimal,£11889.33
57,amount,decimal,£11889.00
58,amount,decimal,£1818.00
59,amount,decimal,£1818.00
60,amount,decimal,£48426.00
61,amount,decimal,£5000.00
62,amount,decimal,£8118.00
63,amount,decimal,£3456.00
64,amount,decimal,£10000.00
65,amount,decimal,£4763.00
66,amount,decimal,£4763.00
67,amount,decimal,£20865.00
68,amount,decimal,£72653.00
69,amount,decimal,£72653.00
70,amount,decimal,£8100.00
71,amount,decimal,£1082.00
72,amount,decimal,£13803.00
73,amount,decimal,£2700.00
74,amount,decimal,£214.00
75,amount,decimal,£19691.00
76,amount,decimal,£180000.00
77,amount,decimal,£13282.00
78,amount,decimal,£20790.00
79,amount,decimal,£11310.00
80,amount,decimal,£7000.00
81,amount,decimal,£43981.00
82,amount,decimal,-£3582.00
83,amount,decimal,£3582.00
84,amount,decimal,-£8414.00
85,amount,decimal,£8414.00
86,amount,decimal,-£6237.00
87,amount,decimal,£6237.00
88,amount,decimal,£4753.00
89,amount,decimal,-£2755.00
90,amount,decimal,£2755.00
91,amount,decimal,£5500.00
92,amount,decimal,£13348.00
93,amount,decimal,£97284.00
94,amount,decimal,£15000.00
95,amount,decimal,£23002.00
96,amount,decimal,£2700.00
97,amount,decimal,£20815.00
98,amount,decimal,£15000.00
99,amount,decimal,£12000.00
100,amount,decimal,£12000.00
101,amount,decimal,£40000.00
102,amount,decimal,£40000.00
103,amount,decimal,-£67626.00
104,amount,decimal,£67626.00
105,amount,decimal,£67626.00
106,amount,decimal,£294454.00
107,amount,decimal,£438000.00
108,amount,decimal,-£1458715.00
109,amount,decimal,£1458715.00
110,amount,decimal,-£2356697.00
111,amount,decimal,£2356697.00
112,amount,decimal,£3000.00
113,amount,decimal,£6500.00
114,amount,decimal,£94646.00
115,amount,decimal,-£308674.00
116,amount,decimal,£308674.00
117,amount,decimal,£23425.00
118,amount,decimal,£15801.00
119,amount,decimal,£13701.25
120,amount,decimal,£81500.00
121,amount,decimal,£8000.00
122,amount,decimal,£15208.00
123,amount,decimal,£32400.00
124,amount,decimal,£22127.00
125,amount,decimal,£5400.00
126,amount,decimal,£1384.00
127,amount,decimal,£3251.00
128,amount,decimal,£27839.00
129,amount,decimal,-£145871.00
130,amount,decimal,£145871.00
131,amount,decimal,£22839.00
132,amount,decimal,-£26231.00
133,amount,decimal,£26231.00
134,amount,decimal,-£4987.00
135,amount,decimal,£4987.00
136,amount,decimal,-£1432.00
137,amount,decimal,£1432.00
138,amount,decimal,-£3363.00
139,amount,decimal,£3363.00
141,amount,decimal,£61954.00
142,amount,decimal,£328107.00
143,amount,decimal,-£101109.00
144,amount,decimal,£101109.00
145,amount,decimal,£175135.00
146,amount,decimal,£15163.00
