pipeline,resource,organisation,value,entity
developer-agreement-transaction,,local-authority-eng:NEA,18/01030/FUL-rec,4400000
developer-agreement-transaction,,local-authority-eng:NEA,18/02146/FUL-rec,4400001
developer-agreement-transaction,,local-authority-eng:NEA,17/02215/RMA-dem,4400002
developer-agreement-transaction,,local-authority-eng:NEA,17/01055/RMAM-rec,4400003
developer-agreement-transaction,,local-authority-eng:NEA,15/01295/FULM-dem,4400004
developer-agreement-transaction,,local-authority-eng:NEA,17/01846/FUL-dem,4400005
developer-agreement-transaction,,local-authority-eng:NEA,15/01295/FULM-rec,4400006
developer-agreement-transaction,,local-authority-eng:NEA,18/02304/FUL-dem,4400007
developer-agreement-transaction,,local-authority-eng:NEA,17/02215/RMA-rec,4400008
developer-agreement-transaction,,local-authority-eng:NEA,17/01846/FUL-rec,4400009
developer-agreement-transaction,,local-authority-eng:NEA,18/01645/RMAM-rec,4400010
developer-agreement-transaction,,local-authority-eng:NEA,14/00161/FULM-rec,4400011
developer-agreement-transaction,,local-authority-eng:NEA,18/02153/FUL-dem,4400012
developer-agreement-transaction,,local-authority-eng:NEA,17/00029/FUL-rec,4400013
developer-agreement-transaction,,local-authority-eng:NEA,17/00029/FUL-dem,4400014
developer-agreement-transaction,,local-authority-eng:NEA,18/02304/FUL-rec,4400015
developer-agreement-transaction,,local-authority-eng:NEA,18/00597/FULM-dem,4400016
developer-agreement-transaction,,local-authority-eng:NEA,17/01248/FUL-dem,4400017
developer-agreement-transaction,,local-authority-eng:NEA,18/00597/FULM-rec,4400018
developer-agreement-transaction,,local-authority-eng:NEA,17/01248/FUL-rec,4400019
developer-agreement-transaction,,local-authority-eng:NEA,18/00526/RMAM-dem,4400020
developer-agreement-transaction,,local-authority-eng:NEA,18/00953/FUL-dem,4400021
developer-agreement-transaction,,local-authority-eng:NEA,18/00953/FUL-rec,4400022
developer-agreement-transaction,,local-authority-eng:NEA,15/00501/FULM-dem,4400023
developer-agreement-transaction,,local-authority-eng:NEA,14/00353/FUL-dem,4400024
developer-agreement-transaction,,local-authority-eng:NEA,18/00526/RMAM-rec,4400025
developer-agreement-transaction,,local-authority-eng:NEA,18/00710/FUL phase 2b-rec,4400026
developer-agreement-transaction,,local-authority-eng:NEA,18/01497/FUL-dem,4400027
developer-agreement-transaction,,local-authority-eng:NEA,18/01020/FULM-dem,4400028
developer-agreement-transaction,,local-authority-eng:NEA,18/00123/FUL-dem,4400029
developer-agreement-transaction,,local-authority-eng:NEA,15/00429/FUL-dem,4400030
developer-agreement-transaction,,local-authority-eng:NEA,17/00959/FUL-rec,4400031
developer-agreement-transaction,,local-authority-eng:NEA,17/00959/FUL-dem,4400032
developer-agreement-transaction,,local-authority-eng:NEA,19/00490/FUL-dem,4400033
developer-agreement-transaction,,local-authority-eng:NEA,18/02153/FUL-rec,4400034
developer-agreement-transaction,,local-authority-eng:NEA,18/01020/FULM-rec,4400035
developer-agreement-transaction,,local-authority-eng:NEA,15/00501/FULM-rec,4400036
developer-agreement-transaction,,local-authority-eng:NEA,18/01497/FUL-rec,4400037
developer-agreement-transaction,,local-authority-eng:NEA,18/01241/FUL-dem,4400038
developer-agreement-transaction,,local-authority-eng:NEA,14/00353/FUL-rec,4400039
developer-agreement-transaction,,local-authority-eng:NEA,19/01615/RMA-dem,4400040
developer-agreement-transaction,,local-authority-eng:NEA,19/00490/FUL-rec,4400041
developer-agreement-transaction,,local-authority-eng:BOL,70243/05-dt2,4400042
developer-agreement-transaction,,local-authority-eng:BOL,78000/07-dt1,4400043
developer-agreement-transaction,,local-authority-eng:BOL,75033/06-dt1,4400044
developer-agreement-transaction,,local-authority-eng:BOL,47118/95-dt1,4400045
developer-agreement-transaction,,local-authority-eng:BOL,31080/88-dt1,4400046
developer-agreement-transaction,,local-authority-eng:BOL,36153/90-dt1,4400047
developer-agreement-transaction,,local-authority-eng:BOL,43439/93-dt1,4400048
developer-agreement-transaction,,local-authority-eng:BOL,37390/90-dt1,4400049
developer-agreement-transaction,,local-authority-eng:BOL,47641/95-dt1,4400050
developer-agreement-transaction,,local-authority-eng:BOL,47874/95-dt1,4400051
