pipeline,resource,organisation,value,entity
developer-agreement-transaction,,local-authority-eng:BOL,49236/96-dt1,4400052
developer-agreement-transaction,,local-authority-eng:BOL,48883/96-dt1,4400053
developer-agreement-transaction,,local-authority-eng:BOL,49236/96-dt2,4400054
developer-agreement-transaction,,local-authority-eng:BOL,55870/99-dt1,4400055
developer-agreement-transaction,,local-authority-eng:BOL,59154/01-dt1,4400056
developer-agreement-transaction,,local-authority-eng:BOL,48793/96-dt1,4400057
developer-agreement-transaction,,local-authority-eng:BOL,48793/96-dt2,4400058
developer-agreement-transaction,,local-authority-eng:BOL,50028/97-dt1,4400059
developer-agreement-transaction,,local-authority-eng:BOL,45255/94-dt1,4400060
developer-agreement-transaction,,local-authority-eng:BOL,59315/01-dt1,4400061
developer-agreement-transaction,,local-authority-eng:BOL,48401/96-dt1,4400062
developer-agreement-transaction,,local-authority-eng:BOL,54285/99-dt1,4400063
developer-agreement-transaction,,local-authority-eng:BOL,63515/02-dt1,4400064
developer-agreement-transaction,,local-authority-eng:BOL,63993/03-dt1,4400065
developer-agreement-transaction,,local-authority-eng:BOL,49577/96-dt1,4400066
developer-agreement-transaction,,local-authority-eng:BOL,36912/92-dt1,4400067
developer-agreement-transaction,,local-authority-eng:BOL,64023/03-dt1,4400068
developer-agreement-transaction,,local-authority-eng:BOL,75492/06-dt1,4400069
developer-agreement-transaction,,local-authority-eng:BOL,67373/04-dt1,4400070
developer-agreement-transaction,,local-authority-eng:BOL,68726/04-dt1,4400071
developer-agreement-transaction,,local-authority-eng:BOL,77241/07-dt1,4400072
developer-agreement-transaction,,local-authority-eng:BOL,70243/05-dt3,4400073
developer-agreement-transaction,,local-authority-eng:BOL,49577/96-dt2,4400074
developer-agreement-transaction,,local-authority-eng:BOL,65785/03-dt1,4400075
developer-agreement-transaction,,local-authority-eng:BOL,79867/08-dt1,4400076
developer-agreement-transaction,,local-authority-eng:BOL,67335/04-dt1,4400077
developer-agreement-transaction,,local-authority-eng:BOL,75848/06-dt1,4400078
developer-agreement-transaction,,local-authority-eng:BOL,79414/08-dt1,4400079
developer-agreement-transaction,,local-authority-eng:BOL,76656/07-dt1,4400080
developer-agreement-transaction,,local-authority-eng:BOL,84637/10-dt1,4400081
developer-agreement-transaction,,local-authority-eng:BOL,84637/10-dt2,4400082
developer-agreement-transaction,,local-authority-eng:BOL,78526/07-dt1,4400083
developer-agreement-transaction,,local-authority-eng:BOL,95486/15-dt1,4400084
developer-agreement-transaction,,local-authority-eng:BOL,93831/15-dt1,4400085
developer-agreement-transaction,,local-authority-eng:BOL,97826/16-dt1,4400086
developer-agreement-transaction,,local-authority-eng:BOL,95151/15-dt1,4400087
developer-agreement-transaction,,local-authority-eng:BOL,00940/17-dt1,4400088
developer-agreement-transaction,,local-authority-eng:BOL,96178/16-dt1,4400089
developer-agreement-transaction,,local-authority-eng:BOL,97199/16-dt1,4400090
developer-agreement-transaction,,local-authority-eng:BOL,02435/17-dt1,4400091
developer-agreement-transaction,,local-authority-eng:BOL,97377/16-dt1,4400092
developer-agreement-transaction,,local-authority-eng:BOL,04044/18-dt2,4400093
developer-agreement-transaction,,local-authority-eng:BOL,01595/17-dt1,4400094
developer-agreement-transaction,,local-authority-eng:BOL,04748/18-dt1,4400095
developer-agreement-transaction,,local-authority-eng:BOL,93610/15-dt1,4400096
developer-agreement-transaction,,local-authority-eng:BOL,78010/07-dt1,4400097
developer-agreement-transaction,,local-authority-eng:BOL,94158/15-dt1,4400098
developer-agreement-transaction,,local-authority-eng:BOL,55705/99-dt1,4400099
developer-agreement-transaction,,local-authority-eng:BOL,62817/02-dt1,4400100
developer-agreement-transaction,,local-authority-eng:BOL,57008/00-dt1,4400101
developer-agreement-transaction,,local-authority-eng:BOL,70243/05-dt1,4400102
developer-agreement-transaction,,local-authority-eng:BOL,69393/04-dt1,4400103
developer-agreement-transaction,,local-authority-eng:BOL,66201/03-dt1,4400104
developer-agreement-transaction,,local-authority-eng:BOL,70143/05-dt1,4400105
developer-agreement-transaction,,local-authority-eng:BOL,74472/06-dt1,4400106
developer-agreement-transaction,,local-authority-eng:BOL,69252/04-dt1,4400107
developer-agreement-transaction,,local-authority-eng:BOL,70897/05-dt1,4400108
developer-agreement-transaction,,local-authority-eng:BOL,69193/04-dt1,4400109
developer-agreement-transaction,,local-authority-eng:BOL,76893/07-dt1,4400110
developer-agreement-transaction,,local-authority-eng:BOL,77289/97-dt1,4400111
developer-agreement-transaction,,local-authority-eng:BOL,79100/07-dt1,4400112
developer-agreement-transaction,,local-authority-eng:BOL,72898/05-dt1,4400113
developer-agreement-transaction,,local-authority-eng:BOL,76656/07-dt2,4400114
developer-agreement-transaction,,local-authority-eng:BOL,92078/14-dt1,4400115
developer-agreement-transaction,,local-authority-eng:BOL,91959/14-dt1,4400116
developer-agreement-transaction,,local-authority-eng:BOL,91081/13-dt1,4400117
developer-agreement-transaction,,local-authority-eng:BOL,86445/11-dt1,4400118
developer-agreement-transaction,,local-authority-eng:BOL,96670/16-dt1,4400119
developer-agreement-transaction,,local-authority-eng:BOL,97377/16-dt2,4400120
developer-agreement-transaction,,local-authority-eng:BOL,04044/18-dt1,4400121
developer-agreement-transaction,,local-authority-eng:BOL,03484/18-dt1,4400122
developer-agreement-transaction,,local-authority-eng:BOL,78010/07-dt2,4400123
developer-agreement-transaction,,local-authority-eng:BOL,88121/12-dt1,4400124
developer-agreement-transaction,,local-authority-eng:BOL,75230/06-dt1,4400125
developer-agreement-transaction,,local-authority-eng:BOL,87062/11-dt1,4400126
developer-agreement-transaction,,local-authority-eng:BOL,93070/14-dt1,4400127
developer-agreement-transaction,,local-authority-eng:BOL,84637/10-dt3,4400128
developer-agreement-transaction,,local-authority-eng:BOL,74472/06-dt2,4400129
developer-agreement-transaction,,local-authority-eng:BOL,02335/17-dt1,4400130
developer-agreement-transaction,,local-authority-eng:BOL,96218/16-dt1,4400131
developer-agreement-transaction,,local-authority-eng:BOL,67274/04-dt1,4400132
developer-agreement-transaction,,local-authority-eng:BOL,72253/05-dt1,4400133
developer-agreement-transaction,,local-authority-eng:BOL,90539/13-dt1,4400134
developer-agreement-transaction,,local-authority-eng:BOL,97377/16-dt3,4400135
developer-agreement-transaction,,local-authority-eng:BOL,94656/15-dt1,4400136
developer-agreement-transaction,,local-authority-eng:BOL,96218/16-dt2,4400137
developer-agreement-transaction,,local-authority-eng:BOL,93610/15-dt2,4400138
developer-agreement-transaction,,local-authority-eng:BOL,96907/16-dt1,4400139
developer-agreement-transaction,,local-authority-eng:BOL,02456/17-dt1,4400140
developer-agreement-transaction,,local-authority-eng:BOL,49236/96-dt3,4400141
developer-agreement-transaction,,local-authority-eng:BOL,49236/96-dt4,4400142
developer-agreement-transaction,,local-authority-eng:BOL,48793/96-dt3,4400143
developer-agreement-transaction,,local-authority-eng:BOL,48793/96-dt4,4400144
developer-agreement-transaction,,local-authority-eng:BOL,49577/96-dt3,4400145
developer-agreement-transaction,,local-authority-eng:BOL,63959/03-dt1,4400146
developer-agreement-transaction,,local-authority-eng:BOL,37395/90-dt1,4400147
developer-agreement-transaction,,local-authority-eng:BOL,49577/96-dt4,4400148
developer-agreement-transaction,,local-authority-eng:BOL,67335/04-dt2,4400149
developer-agreement-transaction,,local-authority-eng:BOL,96218/16-dt3,4400150
developer-agreement-transaction,,local-authority-eng:BOL,93610/15-dt3,4400151
developer-agreement-transaction,,local-authority-eng:BOL,78010/07-dt3,4400152
developer-agreement-transaction,,local-authority-eng:BOL,78010/07-dt4,4400153
developer-agreement-transaction,,local-authority-eng:BOL,93610/15-dt4,4400154
developer-agreement-transaction,,local-authority-eng:IOW,19/00014/FUL-1-1-1,4400155
developer-agreement-transaction,,local-authority-eng:IOW,19/00120/FUL-1-1-1,4400156
developer-agreement-transaction,,local-authority-eng:IOW,19/00146/FUL-1-1-1,4400157
developer-agreement-transaction,,local-authority-eng:IOW,19/00762/FUL-1-1-1,4400158
developer-agreement-transaction,,local-authority-eng:IOW,19/00811/FUL-1-1-1,4400159
developer-agreement-transaction,,local-authority-eng:IOW,P/00044/18-1-1-1,4400160
developer-agreement-transaction,,local-authority-eng:IOW,P/00173/19-1-1-1,4400161
developer-agreement-transaction,,local-authority-eng:IOW,P/00197/11-1-2-1,4400162
developer-agreement-transaction,,local-authority-eng:IOW,P/00235/19-1-1-1,4400163
developer-agreement-transaction,,local-authority-eng:IOW,P/00321/19-1-1-1,4400164
developer-agreement-transaction,,local-authority-eng:IOW,P/00321/19-1-1-2,4400165
developer-agreement-transaction,,local-authority-eng:IOW,P/00329/18-1-2-1,4400166
developer-agreement-transaction,,local-authority-eng:IOW,P/00329/18-1-3-1,4400167
developer-agreement-transaction,,local-authority-eng:IOW,P/00419/17-1-1-1,4400168
developer-agreement-transaction,,local-authority-eng:IOW,P/00457/15-1-1-1,4400169
developer-agreement-transaction,,local-authority-eng:IOW,P/00457/15-1-1-2,4400170
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-1-1,4400171
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-1-2,4400172
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-1-3,4400173
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-2-2,4400174
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-3-3,4400175
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-4-4,4400176
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-5-6,4400177
developer-agreement-transaction,,local-authority-eng:IOW,P/00563/06-1-6-5,4400178
developer-agreement-transaction,,local-authority-eng:IOW,P/00633/17-2-1-1,4400179
developer-agreement-transaction,,local-authority-eng:IOW,P/00638/18-1-1-1,4400180
developer-agreement-transaction,,local-authority-eng:IOW,P/00638/18-1-2-1,4400181
developer-agreement-transaction,,local-authority-eng:IOW,P/00759/18-1-2-1,4400182
developer-agreement-transaction,,local-authority-eng:IOW,P/00759/18-1-2-2,4400183
developer-agreement-transaction,,local-authority-eng:IOW,P/00759/18-1-2-3,4400184
developer-agreement-transaction,,local-authority-eng:IOW,P/00795/18-1-1-1,4400185
developer-agreement-transaction,,local-authority-eng:IOW,P/00798/17-1-1-1,4400186
developer-agreement-transaction,,local-authority-eng:IOW,P/00798/17-1-3-1,4400187
developer-agreement-transaction,,local-authority-eng:IOW,P/00893/17-1-1-1,4400188
developer-agreement-transaction,,local-authority-eng:IOW,P/00925/18-1-1-1,4400189
developer-agreement-transaction,,local-authority-eng:IOW,P/00944/12-1-1-1,4400190
developer-agreement-transaction,,local-authority-eng:IOW,P/00981/18-1-1-1,4400191
developer-agreement-transaction,,local-authority-eng:IOW,P/00981/18-1-1-2,4400192
developer-agreement-transaction,,local-authority-eng:IOW,P/00981/18-1-1-3,4400193
developer-agreement-transaction,,local-authority-eng:IOW,P/00981/18-1-2-1,4400194
developer-agreement-transaction,,local-authority-eng:IOW,P/01066/17-1-1-1,4400195
developer-agreement-transaction,,local-authority-eng:IOW,P/01066/17-1-1-2,4400196
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-1-1,4400197
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-1-2,4400198
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-1-3,4400199
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-1-4,4400200
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-2-5,4400201
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-2-6,4400202
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-3-7,4400203
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-4-8,4400204
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-4-9,4400205
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-4-10,4400206
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-6-15,4400207
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-6-16,4400208
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-6-17,4400209
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-9-22,4400210
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-9-23,4400211
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-9-24,4400212
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-10-25,4400213
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-10-26,4400214
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-10-27,4400215
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-40,4400216
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-41,4400217
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-42,4400218
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-43,4400219
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-44,4400220
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-45,4400221
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-46,4400222
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-47,4400223
developer-agreement-transaction,,local-authority-eng:IOW,P/01373/09-1-11-48,4400224
developer-agreement-transaction,,local-authority-eng:IOW,P/01423/17-1-2-1,4400225
developer-agreement-transaction,,local-authority-eng:IOW,P/01564/17-1-1-1,4400226
developer-agreement-transaction,,local-authority-eng:CHT,CIL00017-LP00032_59,4400227
developer-agreement-transaction,,local-authority-eng:CHT,CIL00017-LP00032_59A,4400228
developer-agreement-transaction,,local-authority-eng:CHT,CIL00017-LP00032_61,4400229
developer-agreement-transaction,,local-authority-eng:CHT,CIL00057-LP00223_59,4400230
developer-agreement-transaction,,local-authority-eng:CHT,CIL00057-LP00223_59A,4400231
developer-agreement-transaction,,local-authority-eng:CHT,CIL00057-LP00223_61,4400232
developer-agreement-transaction,,local-authority-eng:CHT,CIL00094-LP00185_59,4400233
developer-agreement-transaction,,local-authority-eng:CHT,CIL00094-LP00185_59A,4400234
developer-agreement-transaction,,local-authority-eng:CHT,CIL00094-LP00185_61,4400235
developer-agreement-transaction,,local-authority-eng:CHT,CIL00107-LP00327_59,4400236
developer-agreement-transaction,,local-authority-eng:CHT,CIL00107-LP00327_59A,4400237
developer-agreement-transaction,,local-authority-eng:CHT,CIL00107-LP00327_61,4400238
developer-agreement-transaction,,local-authority-eng:CHT,CIL00009-LP00017_59,4400239
developer-agreement-transaction,,local-authority-eng:CHT,CIL00009-LP00017_59A,4400240
developer-agreement-transaction,,local-authority-eng:CHT,CIL00009-LP00017_61,4400241
developer-agreement-transaction,,local-authority-eng:CHT,CIL00055-LP00105_59,4400242
developer-agreement-transaction,,local-authority-eng:CHT,CIL00055-LP00105_59A,4400243
developer-agreement-transaction,,local-authority-eng:CHT,CIL00055-LP00105_61,4400244
developer-agreement-transaction,,local-authority-eng:CHT,CIL00018-LP00033_59,4400245
developer-agreement-transaction,,local-authority-eng:CHT,CIL00018-LP00033_59A,4400246
developer-agreement-transaction,,local-authority-eng:CHT,CIL00018-LP00033_61,4400247
developer-agreement-transaction,,local-authority-eng:CHT,CIL00045-LP00086_59,4400248
developer-agreement-transaction,,local-authority-eng:CHT,CIL00045-LP00086_59A,4400249
developer-agreement-transaction,,local-authority-eng:CHT,CIL00045-LP00086_61,4400250
developer-agreement-transaction,,local-authority-eng:CHT,CIL00058-LP00209_59,4400251
developer-agreement-transaction,,local-authority-eng:CHT,CIL00058-LP00209_59A,4400252
developer-agreement-transaction,,local-authority-eng:CHT,CIL00058-LP00209_61,4400253
developer-agreement-transaction,,local-authority-eng:CHT,CIL00011-LP00017_59,4400254
developer-agreement-transaction,,local-authority-eng:CHT,CIL00011-LP00017_59A,4400255
developer-agreement-transaction,,local-authority-eng:CHT,CIL00011-LP00017_61,4400256
developer-agreement-transaction,,local-authority-eng:CHT,CIL00115-LP00328_59,4400257
developer-agreement-transaction,,local-authority-eng:CHT,CIL00115-LP00328_59A,4400258
developer-agreement-transaction,,local-authority-eng:CHT,CIL00115-LP00328_61,4400259
developer-agreement-transaction,,local-authority-eng:CHT,CIL00110-LP00312_59,4400260
developer-agreement-transaction,,local-authority-eng:CHT,CIL00110-LP00312_59A,4400261
developer-agreement-transaction,,local-authority-eng:CHT,CIL00110-LP00312_61,4400262
developer-agreement-transaction,,local-authority-eng:CHT,CIL00187-LP00017_59,4400263
developer-agreement-transaction,,local-authority-eng:CHT,CIL00187-LP00017_59A,4400264
developer-agreement-transaction,,local-authority-eng:CHT,CIL00187-LP00017_61,4400265
developer-agreement-transaction,,local-authority-eng:CHT,CIL00131-LP00311_59,4400266
developer-agreement-transaction,,local-authority-eng:CHT,CIL00131-LP00311_59A,4400267
developer-agreement-transaction,,local-authority-eng:CHT,CIL00131-LP00311_61,4400268
developer-agreement-transaction,,local-authority-eng:CHT,CIL00136-LP00266_59,4400269
developer-agreement-transaction,,local-authority-eng:CHT,CIL00136-LP00266_59A,4400270
developer-agreement-transaction,,local-authority-eng:CHT,CIL00136-LP00266_61,4400271
developer-agreement-transaction,,local-authority-eng:CHT,DN592,4400272
developer-agreement-transaction,,local-authority-eng:NTY,00/02134/S106/1/T1,4400273
developer-agreement-transaction,,local-authority-eng:NTY,00/02134/S106/1/T2,4400274
developer-agreement-transaction,,local-authority-eng:NTY,02/03264/S106/1/T1,4400275
developer-agreement-transaction,,local-authority-eng:NTY,06/00246/S106/13/T1,4400276
developer-agreement-transaction,,local-authority-eng:NTY,06/01520/S106/1/T1,4400277
developer-agreement-transaction,,local-authority-eng:NTY,07/03648/S106/3/T1,4400278
developer-agreement-transaction,,local-authority-eng:NTY,08/00818/S106/2/T1,4400279
developer-agreement-transaction,,local-authority-eng:NTY,08/00818/S106/2/T2,4400280
developer-agreement-transaction,,local-authority-eng:NTY,09/01790/S106/1/T1,4400281
developer-agreement-transaction,,local-authority-eng:NTY,10/00793/S106/3/T1,4400282
developer-agreement-transaction,,local-authority-eng:NTY,10/00793/S106/4/T1,4400283
developer-agreement-transaction,,local-authority-eng:NTY,20/01140/S106/6/T1,4400284
developer-agreement-transaction,,local-authority-eng:NTY,20/01140/S106/5/T1,4400285
developer-agreement-transaction,,local-authority-eng:NTY,10/02253/S106/3/T1,4400286
developer-agreement-transaction,,local-authority-eng:NTY,10/02253/S106/3/T2,4400287
developer-agreement-transaction,,local-authority-eng:NTY,11/00170/S106/1/T1,4400288
developer-agreement-transaction,,local-authority-eng:NTY,11/00170/S106/1/T2,4400289
developer-agreement-transaction,,local-authority-eng:NTY,11/00170/S106/2/T1,4400290
developer-agreement-transaction,,local-authority-eng:NTY,11/00390/S106/1/T1,4400291
developer-agreement-transaction,,local-authority-eng:NTY,11/01188/S106/1/T1,4400292
developer-agreement-transaction,,local-authority-eng:NTY,11/01188/S106/2/T1,4400293
developer-agreement-transaction,,local-authority-eng:NTY,11/01188/S106/2/T2,4400294
developer-agreement-transaction,,local-authority-eng:NTY,11/01755/S106/2/T1,4400295
developer-agreement-transaction,,local-authority-eng:NTY,11/01818/S106/3/T1,4400296
developer-agreement-transaction,,local-authority-eng:NTY,11/01867/S106/13/T1,4400297
developer-agreement-transaction,,local-authority-eng:NTY,11/01867/S106/8/T1,4400298
developer-agreement-transaction,,local-authority-eng:NTY,11/01942/S106/1/T1,4400299
developer-agreement-transaction,,local-authority-eng:NTY,11/01967/S106/1/T1,4400300
developer-agreement-transaction,,local-authority-eng:NTY,11/01967/S106/1/T2,4400301
developer-agreement-transaction,,local-authority-eng:NTY,11/01967/S106/3/T1,4400302
developer-agreement-transaction,,local-authority-eng:NTY,11/01967/S106/4/T1,4400303
developer-agreement-transaction,,local-authority-eng:NTY,12/00415/S106/1/T1,4400304
developer-agreement-transaction,,local-authority-eng:NTY,12/00415/S106/2/T1,4400305
developer-agreement-transaction,,local-authority-eng:NTY,12/00598/S106/2/T1,4400306
developer-agreement-transaction,,local-authority-eng:NTY,12/00598/S106/2/T2,4400307
developer-agreement-transaction,,local-authority-eng:NTY,12/00598/S106/3/T1,4400308
developer-agreement-transaction,,local-authority-eng:NTY,12/00598/S106/3/T2,4400309
developer-agreement-transaction,,local-authority-eng:NTY,12/01166/S106/2/T1,4400310
developer-agreement-transaction,,local-authority-eng:NTY,12/01166/S106/4/T1,4400311
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/1/T1,4400312
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/1/T2,4400313
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/1/T3,4400314
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/2/T1,4400315
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/2/T2,4400316
developer-agreement-transaction,,local-authority-eng:NTY,12/01233/S106/2/T3,4400317
developer-agreement-transaction,,local-authority-eng:NTY,12/01234/S106/1/T1,4400318
developer-agreement-transaction,,local-authority-eng:NTY,12/01234/S106/1/T2,4400319
developer-agreement-transaction,,local-authority-eng:NTY,12/01234/S106/2/T1,4400320
developer-agreement-transaction,,local-authority-eng:NTY,12/01234/S106/3/T1,4400321
developer-agreement-transaction,,local-authority-eng:NTY,12/01392/S106/1/T1,4400322
developer-agreement-transaction,,local-authority-eng:NTY,12/01514/S106/2/T1,4400323
developer-agreement-transaction,,local-authority-eng:NTY,12/01957/S106/1/T1,4400324
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/10/T1,4400325
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/11/T1,4400326
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/11/T2,4400327
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/12/T1,4400328
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/12/T2,4400329
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/13/T1,4400330
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/13/T2,4400331
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/6/T1,4400332
developer-agreement-transaction,,local-authority-eng:NTY,13/00293/S106/7/T1,4400333
developer-agreement-transaction,,local-authority-eng:NTY,13/00294/S106/1/T1,4400334
developer-agreement-transaction,,local-authority-eng:NTY,13/00294/S106/2/T1,4400335
developer-agreement-transaction,,local-authority-eng:NTY,13/00572/S106/1/T1,4400336
developer-agreement-transaction,,local-authority-eng:NTY,13/00851/S106/3/T1,4400337
developer-agreement-transaction,,local-authority-eng:NTY,13/00851/S106/3/T2,4400338
developer-agreement-transaction,,local-authority-eng:NTY,13/00947/S106/2/T1,4400339
developer-agreement-transaction,,local-authority-eng:NTY,13/00947/S106/4/T1,4400340
developer-agreement-transaction,,local-authority-eng:NTY,13/00947/S106/4/T2,4400341
developer-agreement-transaction,,local-authority-eng:NTY,13/00947/S106/5/T1,4400342
developer-agreement-transaction,,local-authority-eng:NTY,13/01064/S106/1/T1,4400343
developer-agreement-transaction,,local-authority-eng:NTY,13/01431/S106/1/T1,4400344
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/10/T1,4400345
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/3/T1,4400346
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/4/T1,4400347
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/5/T1,4400348
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/6/T1,4400349
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/8/T1,4400350
developer-agreement-transaction,,local-authority-eng:NTY,13/01433/S106/9/T1,4400351
